uniprot_id,go_term
P03886,GO:0016020
P03891,GO:0016020
P00395,GO:0016020
P00403,GO:0016020
P03928,GO:0016020
P00846,GO:0016020
P00414,GO:0016020
P03897,GO:0016020
P03905,GO:0016020
P03915,GO:0016020
P03923,GO:0016020
P00156,GO:0016020
Q494U1,GO:0016020
O00468,GO:0016020
E7ERA6,GO:0016020
Q9Y5U5,GO:0016020
P43489,GO:0016020
Q96L58,GO:0016020
P51172,GO:0016020
Q5TA50,GO:0016020
Q7RTX0,GO:0016020
O14640,GO:0016020
Q9BRK3,GO:0016020
A6NKF7,GO:0016020
Q5T9A4,GO:0016020
Q9NVI7,GO:0016020
Q5SV17,GO:0016020
F2Z333,GO:0016020
P0CK96,GO:0016020
Q05513,GO:0016020
O15258,GO:0016020
O75038,GO:0016020
Q92956,GO:0016020
Q495T6,GO:0016020
Q5T0D9,GO:0016020
Q9UKB5,GO:0016020
Q8TDI0,GO:0016020
O60725,GO:0016020
Q6NV75,GO:0016020
Q5SY16,GO:0016020
Q7RTX1,GO:0016020
Q9NVH1,GO:0016020
Q15836,GO:0016020
Q07011,GO:0016020
Q9UJM3,GO:0016020
Q6PXP3,GO:0016020
P22732,GO:0016020
Q5UAW9,GO:0016020
Q9BSK2,GO:0016020
Q5SNT2,GO:0016020
O00329,GO:0016020
O94985,GO:0016020
O75381,GO:0016020
Q01780,GO:0016020
P42345,GO:0016020
Q9Y5Z9,GO:0016020
Q9P2K9,GO:0016020
Q6RW13,GO:0016020
P51797,GO:0016020
Q8IYS2,GO:0016020
Q02809,GO:0016020
O95140,GO:0016020
P28908,GO:0016020
P20333,GO:0016020
O75911,GO:0016020
Q5VUY2,GO:0016020
Q5VT99,GO:0016020
Q9NW97,GO:0016020
Q96C19,GO:0016020
Q9Y2G8,GO:0016020
Q92681,GO:0016020
Q6PIV7,GO:0016020
A0PJX8,GO:0016020
A0A096LP55,GO:0016020
P51800,GO:0016020
P51801,GO:0016020
P29317,GO:0016020
Q9NQ11,GO:0016020
P21912,GO:0016020
Q9P258,GO:0016020
Q96ID5,GO:0016020
Q5VTJ3,GO:0016020
Q8TE23,GO:0016020
Q5T4S7,GO:0016020
Q8N766,GO:0016020
P50406,GO:0016020
Q5TGY1,GO:0016020
Q9NXI6,GO:0016020
P14555,GO:0016020
P39877,GO:0016020
Q9BZM2,GO:0016020
Q969V5,GO:0016020
Q9BXM7,GO:0016020
P05186,GO:0016020
Q5SZI1,GO:0016020
P60953,GO:0016020
P29322,GO:0016020
P29323,GO:0016020
Q86V48,GO:0016020
P28221,GO:0016020
P62913,GO:0016020
P34972,GO:0016020
Q8N6P7,GO:0016020
Q8IU57,GO:0016020
Q6P499,GO:0016020
Q5T1S8,GO:0016020
Q9Y696,GO:0016020
O95807,GO:0016020
Q8N5G2,GO:0016020
Q9NR34,GO:0016020
Q86WK9,GO:0016020
P16949,GO:0016020
Q99487,GO:0016020
Q92935,GO:0016020
Q9BRI3,GO:0016020
Q9NUE0,GO:0016020
P19634,GO:0016020
Q9H0R3,GO:0016020
Q8IYJ3,GO:0016020
Q9Y6W5,GO:0016020
P09769,GO:0016020
P09912,GO:0016020
Q86Y82,GO:0016020
Q9H6D3,GO:0016020
P25105,GO:0016020
Q8N4Z0,GO:0016020
P41143,GO:0016020
Q69YZ2,GO:0016020
Q92729,GO:0016020
Q13571,GO:0016020
O75056,GO:0016020
Q96SA4,GO:0016020
O43613,GO:0016020
Q9UBV8,GO:0016020
Q12974,GO:0016020
Q07666,GO:0016020
Q9GZU3,GO:0016020
O60684,GO:0016020
P40222,GO:0016020
Q8WY98,GO:0016020
P06239,GO:0016020
P49006,GO:0016020
P84074,GO:0016020
Q969K7,GO:0016020
Q6ZMZ0,GO:0016020
Q96A70,GO:0016020
U3KPV4,GO:0016020
Q96EX1,GO:0016020
O95377,GO:0016020
Q9NTQ9,GO:0016020
O75712,GO:0016020
O95886,GO:0016020
Q8NCS4,GO:0016020
Q9UBB6,GO:0016020
P49721,GO:0016020
Q9HCK5,GO:0016020
Q9H9G7,GO:0016020
Q9NVM1,GO:0016020
Q8WVF1,GO:0016020
Q99062,GO:0016020
Q13003,GO:0016020
Q5D1E8,GO:0016020
Q13823,GO:0016020
Q5VSG8,GO:0016020
Q86U90,GO:0016020
P32019,GO:0016020
Q9NX52,GO:0016020
O43920,GO:0016020
Q01518,GO:0016020
Q7Z6W1,GO:0016020
O75844,GO:0016020
Q9UJD0,GO:0016020
P56696,GO:0016020
Q8N6F1,GO:0016020
Q32P28,GO:0016020
A0A1B0GVZ9,GO:0016020
Q96PL5,GO:0016020
P11166,GO:0016020
Q96AQ2,GO:0016020
Q8IVY1,GO:0016020
P35590,GO:0016020
Q9BW60,GO:0016020
Q5T011,GO:0016020
P10586,GO:0016020
O60909,GO:0016020
Q99661,GO:0016020
P62241,GO:0016020
Q8NFU0,GO:0016020
Q9Y6C5,GO:0016020
P14550,GO:0016020
Q5SWH9,GO:0016020
Q6P0Q8,GO:0016020
O60635,GO:0016020
Q8WZA1,GO:0016020
Q15345,GO:0016020
P07919,GO:0016020
O00519,GO:0016020
A0A0U1RQS6,GO:0016020
A6PVL3,GO:0016020
Q8N118,GO:0016020
Q86W10,GO:0016020
Q13113,GO:0016020
A6NFA1,GO:0016020
Q2M3M2,GO:0016020
P42566,GO:0016020
Q96SU4,GO:0016020
P20337,GO:0016020
O95405,GO:0016020
P22307,GO:0016020
P23786,GO:0016020
Q9BTX1,GO:0016020
Q9Y548,GO:0016020
Q5T700,GO:0016020
