accession	tissues	assay_name
PXD008870	"[""feces""]"	CO_03
PXD008870	"[""feces""]"	NO_36
PXD008870	"[""feces""]"	PD_53
PXD008870	"[""feces""]"	PD_39
PXD008870	"[""feces""]"	PD_26
PXD008870	"[""feces""]"	CO_20
PXD008870	"[""feces""]"	CO_13
PXD008870	"[""feces""]"	CO_01
PXD008870	"[""feces""]"	NO_38
PXD008870	"[""feces""]"	CO_19
PXD008870	"[""feces""]"	NO_25
PXD008870	"[""feces""]"	CO_10
PXD008870	"[""feces""]"	NO_12
PXD008870	"[""feces""]"	PD_11
PXD008870	"[""feces""]"	NO_29
PXD008870	"[""feces""]"	CO_06
PXD008870	"[""feces""]"	CO_22
PXD008870	"[""feces""]"	NO_27
PXD008870	"[""feces""]"	PD_41
PXD008870	"[""feces""]"	NO_34
PXD008870	"[""feces""]"	PD_17
PXD008870	"[""feces""]"	CO_14
PXD008870	"[""feces""]"	PD_25
PXD008870	"[""feces""]"	NO_09
PXD008870	"[""feces""]"	PD_38
PXD008870	"[""feces""]"	PD_23
PXD008870	"[""feces""]"	PD_29
PXD008870	"[""feces""]"	PD_08
PXD008870	"[""feces""]"	PD_01
PXD008870	"[""feces""]"	NO_26
PXD008870	"[""feces""]"	PD_37
PXD008870	"[""feces""]"	PD_46
PXD008870	"[""feces""]"	PD_03
PXD008870	"[""feces""]"	PD_48
PXD008870	"[""feces""]"	NO_24
PXD008870	"[""feces""]"	NO_14
PXD008870	"[""feces""]"	NO_18
PXD008870	"[""feces""]"	PD_43
PXD008870	"[""feces""]"	PD_28
PXD008870	"[""feces""]"	NO_08
PXD008870	"[""feces""]"	PD_40
PXD008870	"[""feces""]"	PD_07
PXD008870	"[""feces""]"	PD_42
PXD008870	"[""feces""]"	CO_18
PXD008870	"[""feces""]"	PD_34
PXD008870	"[""feces""]"	PD_30
PXD008870	"[""feces""]"	PD_09
PXD008870	"[""feces""]"	PD_12
PXD008870	"[""feces""]"	CO_15
PXD008870	"[""feces""]"	CO_04
PXD008870	"[""feces""]"	PD_02
PXD008870	"[""feces""]"	NO_01
PXD008870	"[""feces""]"	PD_45
PXD008870	"[""feces""]"	NO_04
PXD008870	"[""feces""]"	NO_15
PXD008870	"[""feces""]"	NO_31
PXD008870	"[""feces""]"	CO_12
PXD008870	"[""feces""]"	NO_37
PXD008870	"[""feces""]"	PD_32
PXD008870	"[""feces""]"	PD_49
PXD008870	"[""feces""]"	NO_28
PXD008870	"[""feces""]"	PD_47
PXD008870	"[""feces""]"	CO_23
PXD008870	"[""feces""]"	NO_16
PXD008870	"[""feces""]"	PD_19
PXD008870	"[""feces""]"	NO_32
PXD008870	"[""feces""]"	PD_14
PXD008870	"[""feces""]"	CO_08
PXD008870	"[""feces""]"	PD_20
PXD008870	"[""feces""]"	NO_33
PXD008870	"[""feces""]"	PD_15
PXD008870	"[""feces""]"	CO_17
PXD008870	"[""feces""]"	PD_16
PXD008870	"[""feces""]"	PD_06
PXD008870	"[""feces""]"	PD_21
PXD008870	"[""feces""]"	CO_24
PXD008870	"[""feces""]"	CO_05
PXD008870	"[""feces""]"	NO_20
PXD008870	"[""feces""]"	PD_24
PXD008870	"[""feces""]"	PD_52
PXD008870	"[""feces""]"	PD_22
PXD008870	"[""feces""]"	CO_02
PXD008870	"[""feces""]"	NO_07
PXD008870	"[""feces""]"	PD_36
PXD008870	"[""feces""]"	NO_05
PXD008870	"[""feces""]"	PD_27
PXD008870	"[""feces""]"	NO_22
PXD008870	"[""feces""]"	NO_30
PXD008870	"[""feces""]"	CO_16
PXD008870	"[""feces""]"	NO_02
PXD008870	"[""feces""]"	PD_05
PXD008870	"[""feces""]"	PD_10
PXD008870	"[""feces""]"	CO_21
PXD008870	"[""feces""]"	NO_17
PXD008870	"[""feces""]"	NO_13
PXD008870	"[""feces""]"	PD_51
PXD008870	"[""feces""]"	PD_44
PXD008870	"[""feces""]"	NO_10
PXD008870	"[""feces""]"	CO_11
PXD008870	"[""feces""]"	NO_06
PXD008870	"[""feces""]"	NO_35
PXD016126	"[""saliva""]"	MIH_M2
PXD016126	"[""saliva""]"	MIH_M5
PXD016126	"[""saliva""]"	MIH_K1
PXD016126	"[""saliva""]"	MIH_K4
PXD016126	"[""saliva""]"	MIH_M4
PXD016126	"[""saliva""]"	MIH_M1
PXD016126	"[""saliva""]"	MIH_K5
PXD016126	"[""saliva""]"	MIH_K2
PXD016126	"[""saliva""]"	MIH_K3
PXD016126	"[""saliva""]"	MIH_M3
PXD015817	"[""dental plaque""]"	SMD017A07_z610
PXD015817	"[""dental plaque""]"	SMD051A16_z668
PXD015817	"[""dental plaque""]"	SMD017A13_z657
PXD015817	"[""dental plaque""]"	WIG001A07_z673
PXD015817	"[""dental plaque""]"	EXB037A08_z607
PXD015817	"[""dental plaque""]"	WIG001A13_z519
PXD015817	"[""dental plaque""]"	DRT001A13_z669
PXD015817	"[""dental plaque""]"	DRT001A07_z507
PXD015817	"[""dental plaque""]"	SMD046A07_z513
PXD015817	"[""dental plaque""]"	SMD046A15_z663
PXD015817	"[""dental plaque""]"	EXB037A06_z521
PXD015817	"[""dental plaque""]"	WIG001A06_z518
PXD015817	"[""dental plaque""]"	RUV001A15_z609
PXD015817	"[""dental plaque""]"	SMD051A09_z615
PXD015817	"[""dental plaque""]"	SMD046A13_z661
PXD015817	"[""dental plaque""]"	SMD051A11_z616
PXD015817	"[""dental plaque""]"	RUV001A07_z677
PXD015817	"[""dental plaque""]"	SMD051A13_z665
PXD015817	"[""dental plaque""]"	DRT001A16_z672
PXD015817	"[""dental plaque""]"	WIG001A16_z675
PXD015817	"[""dental plaque""]"	SMD017A12_z612
PXD015817	"[""dental plaque""]"	SMD017A16_z660
PXD015817	"[""dental plaque""]"	EXB037A11_z681
