PXD;RAW;cell;treated;comment
PXD006421;FASP_HL60_0h1.raw.xz;HL60;ATRA;hour states 'hours after ATRA treatment', 5 technical replicates
PXD006421;FASP_HL60_0h2.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_0h3.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_0h4.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_0h5.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_24h1.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_24h2.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_24h3.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_24h4.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_24h5.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_3h1.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_3h2.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_3h3.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_3h4.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_3h5.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_48h1.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_48h2.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_48h3.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_48h4.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_48h5.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_96h1.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_96h2.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_96h3.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_96h4.raw.xz;HL60;ATRA;
PXD006421;FASP_HL60_96h5.raw.xz;HL60;ATRA;
PXD002842;FASP_2_01.raw;LAN5;No;
PXD002842;FASP_1_01.raw;LAN5;No;
PXD002842;FASP_1_02.raw;LAN5;No;
PXD002842;FASP_A_01.raw;LAN5;recombinant Aβ42;
PXD002842;FASP_A_02.raw;LAN5;recombinant Aβ42;
PXD002842;FASP_B_02.raw;LAN5;recombinant Aβ42;
PXD002842;FASP_2_02.raw;LAN5;No;
PXD002842;FASP_B_01.raw;LAN5;recombinant Aβ42;
PXD003594;b1369p080_sample_01_a.raw;MCF7;No;
PXD003594;b1369p080_sample_01_b.raw;MCF7;No;
PXD003594;b1369p080_sample_02_a.raw;MCF7;No;
PXD003594;b1369p080_sample_02_b.raw;MCF7;No;
PXD003594;b1369p080_sample_03_a.raw;MCF7;No;
PXD003594;b1369p080_sample_03_b.raw;MCF7;No;
PXD003594;b1369p080_sample_04_a.raw;MCF7;No;
PXD003594;b1369p080_sample_04_b.raw;MCF7;No;
PXD003594;b1369p080_sample_05_a.raw;MCF7;No;
PXD003594;b1369p080_sample_05_b.raw;MCF7;No;
PXD003594;b1369p080_sample_06_a.raw;MCF7;No;
PXD003594;b1369p080_sample_06_b.raw;MCF7;No;
PXD003594;b1369p080_sample_07_a.raw;MCF7;No;
PXD003594;b1369p080_sample_07_b.raw;MCF7;No;
PXD003594;b1369p080_sample_08_a.raw;MCF7;No;
PXD003594;b1369p080_sample_08_b.raw;MCF7;No;
PXD003594;b1369p080_sample_09_a.raw;MCF7;No;
PXD003594;b1369p080_sample_09_b.raw;MCF7;No;
PXD003594;b1369p080_sample_10_a.raw;MCF7;No;
PXD003594;b1369p080_sample_10_b.raw;MCF7;No;
PXD003594;b1369p080_sample_11_a.raw;MCF7;No;
PXD003594;b1369p080_sample_11_b.raw;MCF7;No;
PXD003594;b1369p080_sample_12_a.raw;MCF7;No;
PXD003594;b1369p080_sample_12_b.raw;MCF7;No;
PXD003594;b1369p080_sample_13_a.raw;MCF7;No;
PXD003594;b1369p080_sample_13_b.raw;MCF7;No;
PXD003594;b1369p080_sample_14_a.raw;MCF7;No;
PXD003594;b1369p080_sample_14_b.raw;MCF7;No;
PXD003594;b1369p601_DMSO_G1_B1_S2.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G1_B2_S10.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G1_B3_S18.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G1_B4_S26.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G2_B1_S3.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G2_B2_S11.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G2_B3_S19.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G2_B4_S27.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G3_B1_S4.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G3_B2_S12.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G3_B3_S20.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_G3_B4_S28.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_parental_B1_S1.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_parental_B2_S9.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_parental_B3_S17.RAW;MCF7;No;
PXD003594;b1369p601_DMSO_parental_B4_S25.RAW;MCF7;No;
PXD003594;b1369p601_GDC_G1_B1_S6.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G1_B2_S14.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G1_B3_S22.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G1_B4_S30.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G2_B1_S7.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G2_B2_S15.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G2_B3_S23.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G2_B4_S31.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G3_B1_S8.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G3_B2_S16.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G3_B3_S24.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_G3_B4_S32.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_parental_B1_S5.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_parental_B2_S13.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_parental_B3_S21.RAW;MCF7;GDC-0941;
PXD003594;b1369p601_GDC_parental_B4_S29.RAW;MCF7;GDC-0941;
PXD006035;170322_HEK_RP_01_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_01_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_02_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_02_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_03_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_03_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_04_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_04_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_05_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_05_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_06_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_06_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_07_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_07_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_08_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_08_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_09_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_09_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_10_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_10_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_11_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_11_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_12_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_12_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_13_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_13_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_14_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_14_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_15_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_15_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_16_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_16_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_17_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_17_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_18_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_18_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_19_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_19_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_20_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_20_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_21_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_21_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_22_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_22_B.raw;HEK293F;No;
PXD006035;170322_HEK_RP_23_A.raw;HEK293F;No;
PXD006035;170322_HEK_RP_23_B.raw;HEK293F;No;
PXD008719;HMF_TGFB_1a.raw;CAF;No;
PXD008719;HMF_TGFB_1b.raw;CAF;No;
PXD008719;HMF_TGFB_2a.raw;CAF;No;
PXD008719;HMF_TGFB_2b.raw;CAF;No;
PXD008719;HMF_TGFB_3a.raw;CAF;No;
PXD008719;HMF_TGFB_3b.raw;CAF;No;
PXD008719;HMF_TGFB_curcumin_1a.raw;CAF;curcumin;
PXD008719;HMF_TGFB_curcumin_1b.raw;CAF;curcumin;
PXD008719;HMF_TGFB_curcumin_2a.raw;CAF;curcumin;
PXD008719;HMF_TGFB_curcumin_2b.raw;CAF;curcumin;
PXD008719;HMF_TGFB_curcumin_3a.raw;CAF;curcumin;
PXD008719;HMF_TGFB_curcumin_3b.raw;CAF;curcumin;
PXD008719;MCF7_1a.raw;MCF7;No;
PXD008719;MCF7_1b.raw;MCF7;No;
PXD008719;MCF7_2a.raw;MCF7;No;
PXD008719;MCF7_2b.raw;MCF7;No;
PXD008719;MCF7_3a.raw;MCF7;No;
PXD008719;MCF7_3b.raw;MCF7;No;
PXD008719;MCF7_cc_HMF_TGFB_1a.raw;MCF7 CAF coculture;No;
PXD008719;MCF7_cc_HMF_TGFB_1b.raw;MCF7 CAF coculture;No;
PXD008719;MCF7_cc_HMF_TGFB_2a.raw;MCF7 CAF coculture;No;
PXD008719;MCF7_cc_HMF_TGFB_2b.raw;MCF7 CAF coculture;No;
PXD008719;MCF7_cc_HMF_TGFB_3a.raw;MCF7 CAF coculture;No;
PXD008719;MCF7_cc_HMF_TGFB_3b.raw;MCF7 CAF coculture;No;
PXD008719;MCF7_cc_HMF_TGFB_curcumin_1a.raw;MCF7 CAF coculture;curcumin;
PXD008719;MCF7_cc_HMF_TGFB_curcumin_1b.raw;MCF7 CAF coculture;curcumin;
PXD008719;MCF7_cc_HMF_TGFB_curcumin_2a.raw;MCF7 CAF coculture;curcumin;
PXD008719;MCF7_cc_HMF_TGFB_curcumin_2b.raw;MCF7 CAF coculture;curcumin;
PXD008719;MCF7_cc_HMF_TGFB_curcumin_3a.raw;MCF7 CAF coculture;curcumin;
PXD008719;MCF7_cc_HMF_TGFB_curcumin_3b.raw;MCF7 CAF coculture;curcumin;
PXD008719;MCF7_curcumin_1a.raw;MCF7;curcumin;
PXD008719;MCF7_curcumin_1b.raw;MCF7;curcumin;
PXD008719;MCF7_curcumin_2a.raw;MCF7;curcumin;
PXD008719;MCF7_curcumin_2b.raw;MCF7;curcumin;
PXD008719;MCF7_curcumin_3a.raw;MCF7;curcumin;
PXD008719;MCF7_curcumin_3b.raw;MCF7;curcumin;
PXD008719;ZR751_1a.raw;ZR751;No;
PXD008719;ZR751_1b.raw;ZR751;No;
PXD008719;ZR751_2a.raw;ZR751;No;
PXD008719;ZR751_2b.raw;ZR751;No;
PXD008719;ZR751_3a.raw;ZR751;No;
PXD008719;ZR751_3b.raw;ZR751;No;
PXD008719;ZR751_cc_HMF_TGFB_1a.raw;ZR751 CAF coculture;No;
PXD008719;ZR751_cc_HMF_TGFB_1b.raw;ZR751 CAF coculture;No;
PXD008719;ZR751_cc_HMF_TGFB_2a.raw;ZR751 CAF coculture;No;
PXD008719;ZR751_cc_HMF_TGFB_2b.raw;ZR751 CAF coculture;No;
PXD008719;ZR751_cc_HMF_TGFB_3a.raw;ZR751 CAF coculture;No;
PXD008719;ZR751_cc_HMF_TGFB_3b.raw;ZR751 CAF coculture;No;
PXD008719;ZR751_cc_HMF_TGFB_curcumin_1a.raw;ZR751 CAF coculture;curcumin;
PXD008719;ZR751_cc_HMF_TGFB_curcumin_1b.raw;ZR751 CAF coculture;curcumin;
PXD008719;ZR751_cc_HMF_TGFB_curcumin_2a.raw;ZR751 CAF coculture;curcumin;
PXD008719;ZR751_cc_HMF_TGFB_curcumin_2b.raw;ZR751 CAF coculture;curcumin;
PXD008719;ZR751_cc_HMF_TGFB_curcumin_3a.raw;ZR751 CAF coculture;curcumin;
PXD008719;ZR751_cc_HMF_TGFB_curcumin_3b.raw;ZR751 CAF coculture;curcumin;
PXD008719;ZR751_curcumin_1a.raw;ZR751;curcumin;
PXD008719;ZR751_curcumin_1b.raw;ZR751;curcumin;
PXD008719;ZR751_curcumin_2a.raw;ZR751;curcumin;
PXD008719;ZR751_curcumin_2b.raw;ZR751;curcumin;
PXD008719;ZR751_curcumin_3a.raw;ZR751;curcumin;
PXD008719;ZR751_curcumin_3b.raw;ZR751;curcumin;
PXD002057;130327_o2_01_hu_C1_2hr.raw;SKBR3;AZD8931-resistant;medication study
PXD002057;130327_o2_02_hu_P1_2hr.raw;SKBR3;No;medication study
PXD002057;130327_o2_03_hu_C2_2hr.raw;SKBR3;AZD8931-resistant;medication study
PXD002057;130327_o2_04_hu_P2_2hr.raw;SKBR3;No;medication study
PXD002057;130327_o2_05_hu_C3_2hr.raw;SKBR3;AZD8931-resistant;medication study
PXD002057;130327_o2_06_hu_P3_2hr.raw;SKBR3;No;medication study
PXD003438;20141127_SCX_HuH7_1.raw;HuH7;No;stated in article: overlap of SCXLC-MSMS and RPLC-MSMS is 30% --> complementary
PXD003438;20141127_SCX_HuH7_2.raw;HuH7;No;SCX
PXD003438;20141127_SCX_HuH7_3.raw;HuH7;No;SCX
PXD003438;20141127_SCX_HuH7_4.raw;HuH7;No;SCX
PXD003438;20141210_RP_HuH7_1.raw;HuH7;No;
PXD003438;20141210_RP_HuH7_2.raw;HuH7;No;
PXD003438;20141210_RP_HuH7_3.raw;HuH7;No;
PXD003438;20141210_RP_HuH7_4.raw;HuH7;No;
PXD003438;20141211_RP_N2a_1.raw;N2a;No;
PXD003438;20141211_RP_N2a_2.raw;N2a;No;
PXD003438;20141211_RP_N2a_3.raw;N2a;No;
PXD003438;20141211_RP_N2a_4.raw;N2a;No;
PXD003438;20150201_SCX_N2a_1.raw;N2a;No;SCX
PXD003438;20150201_SCX_N2a_2.raw;N2a;No;SCX
PXD003438;20150201_SCX_N2a_3.raw;N2a;No;SCX
PXD003438;20150201_SCX_N2a_4.raw;N2a;No;SCX
PXD008381;160116_K052_OffLRP_RP_f01.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f02.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f03.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f04.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f05.raw.xz;KO52;No;
