	accession	url	title	projectDescription	species	tissues	ptms	instrumentNames	projectTags	experimentTypes	quantificationMethods	keywords	dataProcessingProtocol	submissionDate	references
0	PXD003411	https://www.ebi.ac.uk/pride/ws/archive/project/PXD003411	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of inflammatory stimulated endothelial cells	While the most important players of inflammation have been well described, a systematic analysis of the proteins fulfilling the effector functionalities during inflammation has not yet been undertaken. Here we present a systematic proteome study of inflammatory activated primary human endothelial cells and fibroblasts. Cells were stimulated with interleukin 1-beta and fractionated in order to obtain secreted, cytoplasmic and nuclear protein fractions. Proteins were submitted to a data-dependent bottom up analytical platform using a QExactive orbitrap and the MaxQuant software for protein identification and label-free quantification. Results were further combined with similarly generated data previously obtained from the analysis of inflammatory activated peripheral blood mononuclear cells. Applying an FDR of less than 0.01 at both peptide and protein level, a total of 8235 protein groups assembled from 163858 peptides was identified. Comparative proteome analysis allowed us to determine proteins regulated in each kind of cells during inflammation. Remarkably, cells were working on similar inflammation-related tasks, however, by regulating different proteins. Thus, we were able to determine cell type-specific inflammatory signatures, apparently resulting from cell type-specific regulatory mechanisms. Hallmarks of inflammation emerged from these findings, representing commonly and cell type-specific responsibilities of cells during inflammation.	"[""Homo sapiens (Human)""]"	"[""umbilical vein""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biological"",""Biomedical""]"	"[""Shotgun proteomics""]"		Cell type-specific inflammatory response, hallmarks of inflammation, mass spectrometry, primary human fibroblasts and endothelial cells, proteomics, secretome	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	2016-01-05	"[[""DOI:null"",""PMID:27025457""]]"
3	PXD009074	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009074	Human T-cells EVs LC-MSMS -  Extracellular Vesicle Subtypes Released From Activated or Apoptotic T-Lymphocytes Carry a Specific and Stimulus-Dependent Protein Cargo	As it is likely that different stimuli promote the release of distinct EV populations, we analyzed EVs from human lymphocytes considering the respective release stimuli (activation vs. apoptosis induction). Morphology and size were analyzed by electron microscopy and nanoparticle tracking analysis. The protein content of these vesicles was analyzed by bidimensional gel electrophoresis followed by mass spec and western blot.	"[""Homo sapiens (Human)""]"	"[""cell suspension culture""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Deamidated"",""UNIMOD"":""7""}]"	"[""LTQ Orbitrap""]"	"[""Biological""]"	"[""Gel-based experiment""]"		Apoptosis, EVs, microvesicles, exosomes, LC-MSMS	5. Two dimensional difference gel electrophoresis (DIGE) Isolated EVs obtained from activated and apoptozing T-lymphocytes (three normal healthy donors) were lysed in THC buffer supplemented with 1µg/ml Aprotonin, Leupeptin, Pepstatin and 200mM PMSF (Merck, Darmstadt, Germany). Lysates were sonicated (program: 1s pulse and 5s pulse off, 3min, amplitude: 90%) two times at 4°C and centrifuged at 20’000rpm for 15min at 4°C. The supernatant was transferred into a new microfuge tube and protein concentration was determined by Bradford assay. Afterwards each probe was divided into three parts with equal protein amounts of 5µg. Each part was labeled with a specific dye for DIGE preparations (CYDYE DIGE Fluor CY3/CY5, VWR, Darmstadt, Germany). An internal standard was generated through mixing 5µg protein of each probe and labeling with CY2 (CYDYE DIGE Fluor, VWR, Darmstadt, Germany). After labeling, probes were loaded onto pH stripes (VWR, Darmstadt, Germany) for the protein separation in the first dimension (isoelectric point). Then proteins were separated in the second dimension (molecular weight, standard SDS-PAGE). The experiments were performed in triplicates. Including the standards, 36 gels were obtained. To identify protein spots, 2D-gels were scanned (IPGphor3, GE Healthcare, Freiburg, Germany) and analyzed by a DIGE DeCyder machine and software (V7.0). 6. Mass spectrometry After the analysis by the DIGE DeCyder machine and software (GE Healthcare, Freiburg, Germany) we selected 24 protein spots, for identification of the proteins by mass spectrometry. Selected protein spots were picked out of the SDS-gels using an Ettan spot picker (GE Healthcare, Freiburg, Germany) and analyzed by mass spectrometry (LC-MS/MS). Mass spectrometry was performed at the Core Facility for Mass Spectrometry in the ZMBH in Heidelberg. Samples were reduced, alkylated and digested with trypsin. Peptides were extracted from the gel pieces, concentrated in a speedVac vacuum centrifuge and diluted to a total volume of 30ul with 0.1% TFA. 25ul of the sample was analyzed by a nanoHPLC system (nanoAcquity, Waters) coupled to an ESI LTQ Orbitrap mass spectrometer (Thermo Fisher). Sample was loaded on a C18 trapping column and separated on an analytical column (75um x 250mm) with a flow rate of 300nl/min in an acetonitrile-gradient (3%-40% ). One survey scan (res: 60000) was followed by 5 information dependent product ion scans in the ion trap. MS/MS spectra were searched against the Swissprot database (20282 entries) using the Mascot software (Matrix Science). Trypsin was specified as enzyme. Carbamidomethyl was set as fixed modification of cysteine and oxidation (methionine), deamidation (asparagines, glutamine), N-terminal acetylation and phosphorylation (serine, Threonine) as variable modifications. Mass tolerance was set to 10ppm and 0.5 Da for MS and MS/MS, respectively.	2018-02-28	"[[""DOI:10.3389/fimmu.2018.00534"",""PMID:29599781""]]"
5	PXD000834	https://www.ebi.ac.uk/pride/ws/archive/project/PXD000834	Positional proteomics identification of the natural substrates of cytosolic carboxypeptidases	Cytosolic carboxypeptidases (CCPs) constitute a new subfamily of M14 metallocarboxypeptidases associated to axonal regeneration and neuronal degeneration, amongst others. CCPs are deglutamylating enzymes, able to catalyze the shortening of polyglutamate side-chains and the gene-encoded C-termini of tubulin, telokin and myosin light chain kinase. The functions of these enzymes are not entirely understood, in part due to lack of information about C-terminal protein processing in the cell and its functional implications. By means of C-terminal COFRADIC, a positional proteomics approach, we searched for cellular substrates targets of CCP1, the most relevant member of this family. We here identified 7 new putative CCP1 protein substrates, including ribosomal proteins, translation factors and high mobility group proteins. 	"[""Homo sapiens (Human)""]"	"[""HEK-293FT cell""]"	"[{""ptm"":""L-methionine (S)-sulfoxide"",""UNIMOD"":""39#C""},{""ptm"":""4x(2)H labeled alpha-dimethylamino N-terminal residue"",""UNIMOD"":""199#N-term""},{""ptm"":""3x(2)H labeled N6-acetyl-L-lysine"",""UNIMOD"":""56#K""},{""ptm"":""2-pyrrolidone-5-carboxylic acid (Gln)"",""UNIMOD"":""28#Q""},{""ptm"":""N-acetylated residue"",""UNIMOD"":""188""},{""ptm"":""acetate labeling reagent (N-term) (heavy form, +3amu)""}]"	"[""LTQ Orbitrap Velos""]"	"[""PRIME-XS Project"",""Biological""]"	"[""Bottom-up proteomics""]"		degradomics C-terminomics carboxypeptidase	LC-MS/MS analysis of 2 μL of the sample mixtures was performed using an Ultimate 3000 RSLC nano LC system (Dionex) in-line connected to a LTQ Orbitrap Velos (Thermo Fisher). Full scan MS spectra were acquired in the Orbitrap at a target value of 1E6 with a resolution of 60,000. The ten most intense ions were then isolated for fragmentation in the linear ion trap, with a dynamic exclusion of 20 s. Peptides were fragmented after filling the ion trap at a target value of 1E4 ion counts. From the MS/MS data in each LC run, Mascot Generic Files were created using the Mascot Distiller software (version 2.3.2.0, Matrix Science). The generated MS/MS peak lists were then searched (2011_05 UniProtKB/Swiss-Prot database containing 20,286 human entries). The following search parameters were set: spectra were searched with semi-ArgC/P enzyme settings, allowing no missed cleavages. Mass tolerance on the precursor ion was set to 10 ppm and on fragment ions to 0.5 Da. In addition, Mascot’s C13 setting was set to 1. The peptide charge was set to 1+, 2+ or 3+ and instrument setting was put on ESI-TRAP.. For the identification of butyrylated peptides, variable modifications were set to pyroglutamate formation of N-terminal glutamine and fixed modifications included D3-acetylation at lysines, methionine oxidation to methionine-sulfoxide and butyrylation (12C4 or 13C4) of peptide N-termini. Only peptides that were ranked one and scored above the threshold score, set at 95% confidence, were withheld.	2014-03-17	"[[""DOI:null"",""PMID:25381060""]]"
6	PXD004796	https://www.ebi.ac.uk/pride/ws/archive/project/PXD004796	Response Profiling Using Shotgun Proteomics Enables Establishing Global Metallodrug Mechanisms of Action - cytoplasmic proteins of KP772-treated SW480 epithelial cells	Response profiling using shotgun proteomics for establishing global metallodrug mechanisms of action in two colon carcinoma cell lines, HCT116 and SW480, was applied and evaluated with the clinically approved arsenic trioxide.  Surprisingly, the complete established mechanism of action of arsenic trioxide was observed by protein regulations in SW480, but not in HCT116 cells. Comparing the basal protein expression in the two cell lines revealed an 80% convergence of protein identifications, but with significant expression differences, which in turn seem affect the extent of protein regulation. For example, while a clear-cut redox response was observed in SW480 cells upon arsenic treatment, such an effect was lacking in HCT116 cells and the latter express drastically higher levels of the involved redox proteins. Response profiling was then used to investigate four anticancer metallodrugs (KP46, KP772, KP1339 and KP1537) by means of functional groups of proteins and mapped their effects according to DNA repair, endocytosis, protection from oxidative stress, protection from endoplasmatic reticulum (ER) stress, cell adhesion and mitochondrial function. We were able to characterize the global effects of these metallodrugs on the proteome and generate hypotheses on hitherto unrecognized mechanisms. Significant differences in the two colon cell lines strongly suggest that knowledge of mechanistic hallmarks of anticancer metallodrug action are imperative for the design of clinical studies and that outcome may be enhanced by means of patient stratification strategies according to these hallmarks.	"[""Homo sapiens (Human)""]"	"[""SW-480 cell"",""colon""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biological"",""Biomedical""]"	"[""Shotgun proteomics""]"		functional protein groups, mechanism of action, metallodrug, response profiling, proteome profiling	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	2016-08-15	"[[""DOI:10.1002/chem.201604516"",""PMID:28071820""]]"
7	PXD000226	https://www.ebi.ac.uk/pride/ws/archive/project/PXD000226	Human Uterine Smooth Muscle S-nitrosoproteome	"S-nitrosoproteome of human unterine smooth muscle in different states of pregnancy (Labor, non labor, and preterm labor).  Samples were isolated by the biotin switch  and streptavidin pulldown before being analyzed by MS/MS on an Orbitrap instrument. Database Searching and bioinformatics: Tandem mass spectra were extracted; charge state deconvolution and deisotoping were not performed. All MS/MS samples were analyzed using Sequest (Thermo Fisher Scientific, San Jose, CA, version v.27, rev. 11). Sequest was initiated to search the database containing ipi.HUMAN.v3.87, the Global Proteome Machine cRAP v.2012.01.01, and random decoy sequences (183158 entries) assuming the digestion enzyme trypsin. Sequest was searched with a fragment ion mass tolerance of 1.00 Da and a parent ion tolerance of 10 ppm. Oxidation of methionine, iodoacetamide derivative of cysteine, and n-ethylmaleimide on cysteine were specified in Sequest as variable modifications. Criteria for Protein Identification-PROTEOIQ (V2.6, www.nusep.com) was used to validate MS/MS based peptide and protein identifications. Peptides were parsed before analysis with a minimum Xcorr value of 1.5 and a minimum length of 6 amino acids. There were no matches to the concatenated decoy database and therefore a false discovery value is not applicable or ""0"". Peptide identifications were accepted if they could be established at greater than 95.0% probability as specified by the Peptide Prophet algorithm. Protein identifications were accepted if they could be established at greater than 95.0% probability and contained at least two identified peptides with 5 spectra per peptide. Protein probabilities were assigned by the Protein Prophet algorithm. Proteins that contained similar peptides and could not be differentiated based on MS/MS analysis alone were grouped to satisfy the principles of parsimony."	"[""Homo sapiens (Human)""]"	"[""lung"",""lung cancer cell line""]"		"[""LTQ Orbitrap"",""instrument model""]"		"[""Bottom-up proteomics""]"		Human, myometrium, S-nitrosation, preterm labor, pregnancy	Not available	2013-04-24	"[[""PMID:23948706"",""DOI:10.1152/ajpcell.00198.2013""]]"
8	PXD003014	https://www.ebi.ac.uk/pride/ws/archive/project/PXD003014	Human DNA Mismatch Repair pathway LC-MSMS	The mismatch repair (MMR) family is a highly conserved group of proteins that function in correcting base-base and insertion-deletion mismatches generated during DNA replication. To systematically investigate the mismatch repair pathway, we conducted a proteomic analysis and identified MMR-associated protein complexes using a tandem-affinity purification coupled with mass spectrometry (TAP-MS) method. In total, we identified 262 high-confidence candidate interaction proteins (HCIPs).	"[""Homo sapiens (Human)""]"	"[""kidney"",""cell culture""]"	"[{""ptm"":""iodoacetamide - site C""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""}]"	"[""LTQ Orbitrap Elite""]"	"[""Biomedical""]"	"[""Affinity purification coupled with mass spectrometry proteomics""]"		Human, HEK-293T, MMR, TAP	The MS/MS spectra were searched with SEQUEST-based in-house software against the database with proteins in Homo sapiens. All the default parameters were used, and automatic decoy database search was performed. Modifications including carboxyamidomethyl for cysteine and oxidation for methionine were applied; Searches were performed using a 50-ppm precursor ion tolerance. Product ion tolerance was set to 1 Da. The identified peptides were filtered by false discovery rate (FDR) < 1% based on the target-decoy method.	2017-08-16	"[[""DOI:null"",""PMID:26828036""]]"
9	PXD005613	https://www.ebi.ac.uk/pride/ws/archive/project/PXD005613	Nitration of Tyrosines In Complement Factor H Domains Alters Its Immunological Activity and Mediates A Pathogenic Role In Age Related Macular Degeneration	Nitrosative stress has been implicated in the pathogenesis of age related macular degeneration (AMD). Tyrosine nitration is a unique type of post translational modification that occurs in the setting of inflammation and nitrosative stress. To date, the significance and functional implications of tyrosine nitration of complement factor H (CFH), a key complement regulator in the eye has not been explored, and is examined in this study in the context of AMD pathogenesis. Sections of eyes from deceased individuals with AMD (n = 5) demonstrated the presence of immunoreactive nitrotyrosine CFH. We purified nitrated CFH from retinae from 2 AMD patients. Mass spectrometry of CFH isolated from AMD eyes revealed residues in domains critical for binding to heparan sulphate glycosaminoglycans (GAGs), lipid peroxidation by-products and complement (C) 3b were nitrated. Functional studies revealed that nitrated CFH did not bind to lipid peroxidation products, nor to the GAG of perlecan nor to C3b. There was loss of cofactor activity for Factor I mediated cleavage of C3b with nitrated CFH compared to non-nitrated CFH. CFH inhibits, but nitrated CFH significantly potentiates, the secretion of the pro-inflammatory and angiogenic cytokine IL-8 from monocytes that have been stimulated with lipid peroxidation by-products. AMD patients (n = 30) and controls (n = 30) were used to measure plasma nitrated CFH using a novel ELISA. AMD patients had significantly elevated nitrated CFH levels compared to controls (p = 0.0117). These findings strongly suggest that nitrated CFH contributes to AMD progression, and is a target for therapeutic intervention.	"[""Homo sapiens (Human)""]"	"[""eye""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Nitro"",""UNIMOD"":""354""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""LTQ FT""]"	"[""Biomedical""]"	"[""Gel-based experiment""]"		Nitrotyrosine, Macular Degeneration, Complement Factor H, CFH	Mass spectral data were searched using Mascot (V2.3, Matrix Science) against the non-redundant database from NCBI. Search parameters were: precursor tolerance 6 ppm and product ion tolerances ± 0.5 Da. Cys-carboxyamidomethyl was selected as a fixed modification and Met-O, Trp-O, Tyr-NO2 and Pyro-Glu/Gln were selected as variable modifications with full tryptic cleavage of up to 2 missed cleavages.	2016-12-21	"[[""PMID:28159936"",""DOI:10.18632/oncotarget.14940""]]"
10	PXD002050	https://www.ebi.ac.uk/pride/ws/archive/project/PXD002050	CPTAC proteomic analysis of TCGA colon and rectal carcinomas using standard and customized databases, part 10	The goal of the CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue is to analyze the proteomes of TCGA tumor samples that have been comprehensively characterized by molecular methods. Ninety-five TCGA tumor samples were used in this study.	"[""Homo sapiens (Human)""]"	"[""rectal cancer cell"",""colonic cancer cell""]"	"[{""ptm"":""Glu-\u003epyro-Glu"",""UNIMOD"":""27""},{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Gln-\u003epyro-Glu"",""UNIMOD"":""28""}]"	"[""LTQ Orbitrap Velos""]"	"[""Highlighted"",""CPTAC Consortium"",""Biomedical""]"	"[""Shotgun proteomics""]"		CPTAC CPTAC-TCGA_Colorectal_Cancer CPTAC-VU	Peptide identification employed the RefSeq Human protein sequence database using three different database search engines: myrimatch, pepitome and MS-GF+. Spectral identification files were converted to IDPicker SQLite databases (idpDB) using IDPicker 3. The resulting files were used for final protein assembly providing the minimal list of proteins that could explain the available peptides identified. Initially, spectrum-to-peptide match stringency was set at 0.1% FDR with a minimum of 2 distinct peptides identified per protein. The dataset was limited to the 7526 protein groups identified while spectral counts were increased by relaxing the spectrum-to-peptide match FDR to 1%. Assembly at the gene level resulted in the identification of 7211 gene groups for the full dataset. Variant peptide sequences were identified by separate database searches using data from RNA-seq of the individual carcinomas using the R package customProDB. A total of 796 single amino acid variants were identified.	2015-06-03	"[[""PMID:26110064"",""DOI:10.1038/sdata.2015.22""]]"
11	PXD009252	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009252	A mass spectrometry-based predictive strategy reveals ADAP1 is phosphorylated at Tyrosine 364.	Abstract Rationale The goal of this work was to identify phosphorylation sites within the amino acid sequence of human ADAP1. Using traditional mass spectrometry-based techniques we were unable to produce interpretable spectra demonstrating modification by phosphorylation. This prompted us to employ a strategy in which phosphorylated peptides were first predicted using peptide mapping followed by targeted MS/MS acquisition. Methods ADAP1 was immunoprecipitated from extracts of HEK293 cells stably-transfected with ADAP1 cDNA. Immunoprecipitated ADAP1 was digested with proteolytic enzymes and analyzed by LC-MS in MS1 mode by high-resolution quadrupole time-of-flight mass spectrometry (QTOF-MS). Peptide molecular features were extracted using an untargeted data mining algorithm. Extracted peptide neutral masses were matched against the ADAP1 amino acid sequence with phosphorylation included as a predicted modification. Peptides with predicted phosphorylation sites were analyzed by targeted LC-MS2. Acquired MS2 spectra were then analyzed using database search engines to confirm phosphorylation. Spectra of phosphorylated peptides were validated by manual interpretation. Further confirmation was performed by manipulating phospho-peptide abundance using calf intestinal phosphatase (CIP) and the phorbol ester, phorbol 12-myristate 13-acetate (PMA). Results Of five predicted phosphopeptides, one, comprised of the sequence AVDRPMLPQEYAVEAHFK, was confirmed to be phosphorylated on a Tyrosine at position 364. Pre-treatment of cells with PMA prior to immunoprecipitation increased the ratio of phosphorylated to unphosphorylated peptide as determined by area counts of extracted ion chromatograms (EIC). Addition of CIP to immunoprecipitation reactions eliminated the phosphorylated form.  Conclusions A novel phosphorylation site was identified at Tyrosine 364. Phosphorylation at this site is increased by treatment with PMA. PMA promotes membrane translocation and activation of protein kinase C (PKC), indicating that Tyrosine 364 is phosphorylated by a PKC-dependent mechanism.	"[""Homo sapiens (Human)""]"	"[""HeLa cell""]"	"[{""ptm"":""Phospho"",""UNIMOD"":""21""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""6520 Quadrupole Time-of-Flight LC/MS""]"	"[""Biological""]"	"[""Shotgun proteomics""]"		ADAP1, phosphorylation	Peptide molecular features were extracted using the Find by Molecular Feature algorithm in Mass Hunter software (Agilent Technologies). The following extraction parameters were used: minimum ion peak height = 1000 counts, ion count threshold = 2 or more ions, allowed ion species = +H and +Na, charge state maximum = 4, chromatographic peak height 3,000 counts, and isotope model = peptide. Peptide sequence matching was performed in BioConfirm software (Agilent Technologies).  Extracted peptide neutral masses were matched against in silico digested ADAP1 amino acid sequence with phosphorylation included as a predicted modification. A match mass error of 10 ppm was allowed. For all matched peptides, m/z and retention time for all detected charge states were exported in a targeted MS/MS inclusion list for targeted MS/MS data acquisition. Database searching. Raw data were extracted and analyzed using Spectrum Mill (Rev A.03.03.038 SR1, Agilent Technologies, Palo Alto, CA). Peak picking was performed within Spectrum Mill using the following parameters: signal-to-noise = 25:1, maximum charge state = 5, and precursors MH+ = 600-6000 Da. For searches the following parameters were applied: Swiss-Prot Human database (release 15.12), carbamidomethylation as a fixed modification, phosphorylation and oxidized methionine as variable modifications, maximum of 1 missed cleavage, precursor mass tolerance +/- 20 ppm, product mass tolerance +/- 40 ppm, sequence tag length > 3, and maximum ambiguous precursor charge = 3. Data were also searched against an in-house database that consisted of the ADAP1 sequence. Data were evaluated and protein identifications were considered significant if the following confidence thresholds were met: minimum of 2 peptides per protein, protein score >20, individual peptide scores > 10, and Scored Percent Intensity (SPI) >70%.	2018-03-19	"[[""DOI:10.1002/rcm.8140"",""PMID:29659066""]]"
12	PXD009914	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009914	METTL13 modulates mRNA translation through methylation of eEF1A at Lys55 and the N-terminus, part 2	The experiment aimed at characterizing the methylation status of eEF1A in cells (HeLa) stressed using a panel of drugs including anisomycin, cycloheximide, 4NQO and adenosine dialdehyde (AdOx).	"[""Homo sapiens (Human)""]"		"[{""ptm"":""dimethylated residue"",""UNIMOD"":""36""},{""ptm"":""N6""},{""ptm"":""monomethylated residue"",""UNIMOD"":""34""}]"	"[""Q Exactive HF-X""]"	"[""Biological""]"	"[""Top-down proteomics""]"		eEF1A, PTM, methylation	Data searched using MaxQuant (version 1.6.0.9i) for KR methylation (mono, di and tri) as well as N-terminal methylation (mono, di and tri) as variable modifications.	2018-05-25	"[[""DOI:10.1038/s41467-018-05646-y"",""PMID:30143613""]]"
