accession	url	title	projectDescription	species	tissues	ptms	instrumentNames	projectTags	experimentTypes	quantificationMethods	keywords	dataProcessingProtocol	submissionDate	references
PXD003411	https://www.ebi.ac.uk/pride/ws/archive/project/PXD003411	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of inflammatory stimulated endothelial cells	While the most important players of inflammation have been well described, a systematic analysis of the proteins fulfilling the effector functionalities during inflammation has not yet been undertaken. Here we present a systematic proteome study of inflammatory activated primary human endothelial cells and fibroblasts. Cells were stimulated with interleukin 1-beta and fractionated in order to obtain secreted, cytoplasmic and nuclear protein fractions. Proteins were submitted to a data-dependent bottom up analytical platform using a QExactive orbitrap and the MaxQuant software for protein identification and label-free quantification. Results were further combined with similarly generated data previously obtained from the analysis of inflammatory activated peripheral blood mononuclear cells. Applying an FDR of less than 0.01 at both peptide and protein level, a total of 8235 protein groups assembled from 163858 peptides was identified. Comparative proteome analysis allowed us to determine proteins regulated in each kind of cells during inflammation. Remarkably, cells were working on similar inflammation-related tasks, however, by regulating different proteins. Thus, we were able to determine cell type-specific inflammatory signatures, apparently resulting from cell type-specific regulatory mechanisms. Hallmarks of inflammation emerged from these findings, representing commonly and cell type-specific responsibilities of cells during inflammation.	"[""Homo sapiens (Human)""]"	"[""umbilical vein""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biological"",""Biomedical""]"	"[""Shotgun proteomics""]"		Cell type-specific inflammatory response, hallmarks of inflammation, mass spectrometry, primary human fibroblasts and endothelial cells, proteomics, secretome	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	5/01/2016	"[[""DOI:null"",""PMID:27025457""]]"
PXD000072	https://www.ebi.ac.uk/pride/ws/archive/project/PXD000072	High precision platelet releasate definition by quantitative reversed protein profiling	The platelet releasate defined by quantitative reversed protein profiling.  Dimethyl labeled proteins of platelets in resting (light label) and activated state (collagen and thrombin activation, intermediate label) from three healthy volunteers fractionated by SCX, analyzed on a LTQ Obitrap Velos using a data dependent decision tree method (HCD/ETD).Peak lists were generated from the raw data files using the Proteome Discoverer software package version 1.3.339. Peptide identification was performed by searching the individual peak lists (HCD, ETD-IT and ETD-FT) against a concatenated target-decoy database containing the human sequences in the Uniprot database (release 2012_06) supplemented with a common contaminants database using the Mascot search engine version 2.3 (Matrix Science, London, United Kingdom) via the Proteome Discoverer interface (version 1.3). The search parameters included the use of semitrypsin as proteolytic enzyme allowing up to a maximum of 2 missed cleavages. Carbamidomethylation of cysteines was set as a fixed modification whereas oxidation of methionines and the dimethyl light and intermediate labels on N-termini and lysine residues were set as variable modifications. Precursor mass tolerance was initially set at 50 ppm, while fragment mass tolerance was set at 0.6 Da for ETD-IT fragmentation and 0.05 Da for HCD and ETD-FT fragmentation. Subsequently, the peptide identifications were filtered for true mass accuracy <4 ppm and an ion score of 40 until an FDR <1% at peptide level was achieved.	"[""Homo sapiens (Human)""]"	"[""blood platelet""]"	"[{""ptm"":""formylated residue"",""UNIMOD"":""122""},{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""dihydroxylated residue"",""UNIMOD"":""425""}]"	"[""LTQ Orbitrap Velos"",""instrument model""]"		"[""Bottom-up proteomics""]"		Human, Blood, Platelets, Alpha granules, Releasate, Isotope labeling, LC-MSMS, LTQ Orbitrap Velos	Not available	20/11/2012	"[[""DOI:10.1161/ATVBAHA.113.301147"",""PMID:23640497""]]"
PXD003409	https://www.ebi.ac.uk/pride/ws/archive/project/PXD003409	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - nuclear proteins of inflammatory stimulated endothelial cells	While the most important players of inflammation have been well described, a systematic analysis of the proteins fulfilling the effector functionalities during inflammation has not yet been undertaken. Here we present a systematic proteome study of inflammatory activated primary human endothelial cells and fibroblasts. Cells were stimulated with interleukin 1-beta and fractionated in order to obtain secreted, cytoplasmic and nuclear protein fractions. Proteins were submitted to a data-dependent bottom up analytical platform using a QExactive orbitrap and the MaxQuant software for protein identification and label-free quantification. Results were further combined with similarly generated data previously obtained from the analysis of inflammatory activated peripheral blood mononuclear cells. Applying an FDR of less than 0.01 at both peptide and protein level, a total of 8235 protein groups assembled from 163858 peptides was identified. Comparative proteome analysis allowed us to determine proteins regulated in each kind of cells during inflammation. Remarkably, cells were working on similar inflammation-related tasks, however, by regulating different proteins. Thus, we were able to determine cell type-specific inflammatory signatures, apparently resulting from cell type-specific regulatory mechanisms. Hallmarks of inflammation emerged from these findings, representing commonly and cell type-specific responsibilities of cells during inflammation.	"[""Homo sapiens (Human)""]"	"[""umbilical vein""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""residues isobaric at 128.058578 Da"",""UNIMOD"":""188""}]"	"[""Q Exactive""]"	"[""Biological"",""Biomedical""]"	"[""Shotgun proteomics""]"		Cell type-specific inflammatory response, hallmarks of inflammation, mass spectrometry, primary human fibroblasts and endothelial cells, proteomics, secretome	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	5/01/2016	"[[""DOI:null"",""PMID:27025457""]]"
PXD003534	https://www.ebi.ac.uk/pride/ws/archive/project/PXD003534	Adjuvant Secretomes -  Adjuvant-induced human monocyte secretome profiles reveal adjuvant- and age-specific protein signatures	Adjuvant-induced human monocyte secretome profiles reveal adjuvant- and age-specific protein signatures.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Dehydrated"",""UNIMOD"":""23""},{""ptm"":""Ammonia-loss"",""UNIMOD"":""385""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Gln-\u003epyro-Glu"",""UNIMOD"":""28""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"	"[""Spectrum counting""]"	Adjuvants, Secretome, LC-MS,	All peak list files (MGFs) were analyzed using the Mascot (Matrix Science; London, UK; version 2.3.02) and X!Tandem search engines (The GPM, thegpm.org; version CYCLONE (2010.12.01.1)). Mascot was configured to search the Uniprot human sequence database (35,806 entries as of May 2011), assuming the digestion enzyme trypsin with one missed cleavage allowed. Searches were conducted with fixed modification for carbamidomethyl; variable methionine oxidation and variable pyroGlu formation (from N-terminal Glu and Gln); monoisotopic mass with peptide precursor mass tolerance of 10 parts per million (ppm); MS/MS ion mass tolerance of 0.02 Dalton (Da).	27/01/2016	"[[""DOI:null"",""PMID:26933193""]]"
PXD001674	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001674	Immune suppressive neutrophils are a separate subset developing parallel to normal neutrophils	Release of neutrophil subsets (hypersegmented, mature and banded) into the bloodstream was evoked by acute inflammation induced by iv. Injection of 2ng/kg lipopolysaccharide in healthy human volunteers pulse (6 hrs) labelled with deuteriated glucose. Three hours after injection, the three neutrophil subsets were sorted from blood. Incorporation of label into DNA was measured and proteome profiles were determined using high-end proteomics techniques (dimethyl labeling, SCX, nano-uplc, Q-Exactive).	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""formylated residue"",""UNIMOD"":""122""},{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""dihydroxylated residue"",""UNIMOD"":""425""},{""ptm"":""2x(13)C,6x(2)H labeled dimethylated L-arginine"",""UNIMOD"":""330""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Human, Neutrophils, LC-MS	Peptide identification was performed by searching the peak lists against a concatenated target-decoy database of human protein sequences in the Uniprot database (release 2013_12) using Proteome Discoverer version 1.4.0.288 (Thermo Scientific, Bremen, Germany), supplemented with a common contaminants database using the Mascot search engine version 2.3 (Matrix Science, London, United Kingdom). Search parameters allowed up to two missed trypsin cleavage sites per peptide, carbamidomethylation was assumed for all cysteine residues, allowed methionine oxidation as a result of sample handling and assumed  labelling on both lysine residues and N-termini. Mass tolerances were set at 50ppm for precursor peptides, while fragment mass tolerance was set at 0.05Da using HCD fragmentation. Use of the percolator algorithm resulted in a false-discovery rate of less than one percent. Identified peptides were filtered for an ion score of 20, and a peptide rank of 1 so only the best matching peptide is used. Resulting proteins with evidence only on cDNA level were manually re-analysed for matching proteins with evidence on protein levels.	14/01/2015	"[[""DOI:10.1182/blood-2016-07-727669"",""PMID:28515092""]]"
PXD006833	https://www.ebi.ac.uk/pride/ws/archive/project/PXD006833	Human bladder,colon,kidney,liver cancer LC MS/MS	We propose that enrichment of low-abundance proteins benefits MPs finding. ProteoMinerTM is an equalizing technique by reducing high-abundance proteins and enriching low-abundance proteins in biological liquids. With triton X-100/TBS buffer extraction, ProteoMinerTM enrichment and peptide fractionation, 25 MPs with 73 unique peptides were identified from four human tissues, including 10 membrane proteins and 6 nucleus proteins. Then 18 MPs were confirmed with at least 2 unique peptide identification and 6 MPs were confirmed with 1 unique peptide identification by PRM assay. Hence these results demonstrated ProteoMinerTM as a powerful means in discovery of MPs.	"[""Homo sapiens (Human)""]"	"[""liver""]"	"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""deamidated residue"",""UNIMOD"":""7""}]"	"[""Q Exactive HF""]"	"[""Chromosome-centric Human Proteome Project (C-HPP)"",""Human Proteome Project"",""Biomedical""]"	"[""Shotgun proteomics""]"		"""bladder,colon,kidney,liver,LC MS/MS"""	Acquired MS data were converted to MGF files by Proteome Discoverer 1.4 (Thermo Scientific, Waltham, MA) and the exported MGF files were searched using Mascot version2.3.02 against the Swiss-prot human database ( released on 2017_04 with 20183 protein sequences). The false discovery rate (FDR) was set to less than 1% at both PSM and protein level. Trypsin was selected as the specific enzyme with a maximum of two missed cleavages permitted per peptide. Parameters included fixed modification: Carbamidomethylation (C); variable modification: Oxidation (M), Deamidatioin (N, Q). Data were searched with a peptide mass tolerance of 20ppm and a fragment mass tolerance of 0.05Da.	29/06/2017	"[[""DOI:10.1021/acs.jproteome.7b00353"",""PMID:28960076""]]"
PXD001421	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001421	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - nuclear proteins of dexamethasone-treated inflammatory stimulated cells	Inflammation is a physiological process involved in many diseases. Monitoring proteins involved in regulatory effects may help to improve our understanding of inflammation. We have analyzed proteome alterations induced in peripheral blood mononuclear cells (PBMCs) upon inflammatory activation in great detail using high resolution mass spectrometry. Moreover, the activated cells were treated with dexamethasone to investigate their response to this antiphlogistic drug. From a total of 6886 identified proteins, 469 proteins were significantly regulated upon inflammatory activation. Most of these proteins were counter-regulated by dexamethasone, with some exceptions concerning members of the interferon-induced protein family. To confirm some of these results, we performed targeted MRM analyses of selected peptides. The inflammation-induced up-regulation of proteins such as IL-1beta, IL-6, CXCL2 and GRO? was confirmed, however with strong quantitative inter-individual differences. Furthermore, the inability of dexamethasone to down-regulate inflammation-induced proteins such as PTX3 and TSG6 was clearly demonstrated. In conclusion, the relation of cell function as well as drug-induced modulation thereof was successfully mapped to proteomes, suggesting targeted analysis as a novel and powerful drug evaluation method. While most consequences of dexamethasone were found compatible with the expected way of action, some unexpected but significant observations may relate with adverse effects.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Adverse drug effects, cell biology, drug effects, inflammatory response, mass spectrometry, PBMCs, proteomics, secretome	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification and qualitative data analysis. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	20/10/2014	"[[""DOI:null"",""PMID:25347463""]]"
PXD004626	https://www.ebi.ac.uk/pride/ws/archive/project/PXD004626	Multi-omics analysis of serum samples demonstrates reprogramming of organ functions via systemic calcium mobilization and platelet activation in metastatic melanoma patients - proteins from serum samples of healthy donors	Pathophysiology of cancer-associated syndroms such as cachexia is poorly understood and no routine biomarkers have been established, yet. Using shotgun proteomics, known marker molecules including PMEL, CRP, SAA and CSPG4 were found deregulated in patients with metastatic melanoma. Targeted analysis of 58 selected proteins with multiple reaction monitoring was applied for independent data verification. In three patients, two of which suffered from cachexia, a tissue damage signature was determined, consisting on nine proteins, PLTP, CD14, TIMP1, S10A8, S10A9, GP1BA, PTPRJ, CD44 and CO4A, as well as increased levels of glycine and asparagine, and decreased levels of polyunsaturated phosphatidylcholine concentrations, as determined by targeted metabolomics. Remarkably, these molecules are known to be involved in key processes of cancer cachexia. Based on these results, we propose a model how metastatic melanoma may lead to reprogramming of organ functions via formation of platelet activating factors from long-chain polyunsaturated phosphatidylcholines under oxidative conditions and via systemic induction of intracellular calcium mobilization. Calcium mobilization in platelets was demonstrated to regulate several of these marker molecules. Additionally, platelets from melanoma patients proved to be in a rather exhausted state, and platelet-derived eicosanoids implicated in tumor growth were found massively increased in blood from three melanoma patients. Platelets were thus identified as important source of serum protein and lipid alterations in late stage melanoma patients. As a result, the proposed model describes the crosstalk between lipolysis of fat tissue and muscle wasting mediated by oxidative stress, resulting in the metabolic deregulations characteristic for cachexia.	"[""Homo sapiens (Human)""]"	"[""blood serum""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""residues isobaric at 128.058578 Da"",""UNIMOD"":""188""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Metastatic melanoma, serum analysis, cachexia, damage signature, calcium mobilization, platelet activation, mass spectrometry, shotgun proteomics	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	21/07/2016	"[[""DOI:null"",""PMID:27879288""]]"
PXD009310	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009310	The platelet releasate in healthy population and pregancy	Upon activation, platelets release a multitude of soluble and vesicular signals, collectively termed the �platelet releasate� (PR). This PR plays an important role in haemostasis, wound healing and the inflammatory response. We and others have used qualitative/quantitative proteomic approaches to characterise the PR; however, with reports of marked inter-individual variability, confident and reliable insights have been hindered. Here we aimed to provide a reproducible and quantifiable proteomic analysis and establish a 'core' human PR, as well as to assess its variability in healthy human pregnancy where increased platelet activation is observed. 896 proteins from thrombin-induced PRs were quantified across 32healthy donors, with 277 proteins forming a �core� PR with low variability. All 277 core PR proteins were identified in pregnancy. Furthermore 69 proteins were found differentially released from platelets in healthy human pregnancy. In summary, the PR comprises a �core� set of proteins between healthy individuals. This dynamic proteome significantly changes in physiologic and pathologic conditions. Thus, the PR is a barcode for the health status of an individual at a given time.	"[""Homo sapiens (Human)""]"	"[""blood platelet""]"	"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Q Exactive""]"	"[""Biological""]"	"[""Shotgun proteomics""]"	"[""Label free""]"	Human, platelets, platelet releasate, pregnancy, LC-MS/MS	Raw MS files were analyzed by MaxQuant (MQ) version 1.5.0.30. MS/MS spectra were searched by the Andromeda search engine against a human FASTA (August 2016) obtained from UniProt.  MQ analysis included an initial search with a precursor mass tolerance of 20ppm the results of which were used for mass recalibration. In the main Andromeda search precursor mass and fragment mass had an initial mass tolerance of 6ppm and 20ppm, respectively. The search included fixed modification of carbamidomethyl cysteine. Minimal peptide length was set to 7 amino acids and a maximum of 2 miscleavages was allowed. The false discovery rate (FDR) was set to 0.01 for peptide/protein identification.  For the PR analysis across healthy population we used label-free quantification (LFQ) with a minimum of two ratio counts to determine the normalized protein intensity. LFQ intensities were assigned to identified proteins by comparing the area under the curve of the signal intensity for any given peptide. Protein IDs were filtered to eliminate identifications from the reverse database, proteins only identified by site, and common contaminants. LFQ values were Log2 transformed unless otherwise indicated.  A protein was included in our �core� PR if it was found in 32 from 32 donors.  For pregnancy analysis total protein apprach (TPA) was used. A protein was inculded if it was found in at least 50% of at least one (pregnant (PC) or non-pregnant (NP)) group.	23/03/2018	"[[""PMID:29932309"",""DOI:10.1002/pmic.201800219""]]"
PXD006578	https://www.ebi.ac.uk/pride/ws/archive/project/PXD006578	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of CLL cells	Chronic lymphocytic leukemia (CLL), the most common type of leukemia in adults, is still incurable despite the development of novel therapeutic strategies. This reflects the incomplete understanding of the pathophysiology of this disease. In order to get more detailed insights into CLL development, we performed a comprehensive proteome analysis of primary human CLL cells and B cells from young and age-matched healthy individuals. For comparison, we also analyzed the chronic B cell leukemia cell line JVM-13 showing rather limited similarity to the primary cells. A principal component analysis comprising 6945 proteins separated these four groups, placing B cells of aged-matched controls between those of young donors and CLL patients. Remarkably, B cells from aged controls displayed significant regulation of proteins related to metabolic processes and stress response in mitochondria such as DLAT, FIS1 and NDUFAB1 as well as DNA repair including RAD9A, MGMT and XPA. Interestingly, these alterations apparently correlating with aging of B cells may also be essential for tumorigenesis and were observed similarly in CLL cells. In CLL cells, in addition, some remarkable unique features like the loss of tumor suppressor molecules PNN and JARID2, and high expression of CCDC88A, PIGR and ID3 otherwise associated with epithelial mesenchymal transition and stemness were determined. Furthermore, while typical hallmarks of cancer such as cell proliferation were hardly apparent for CLL cells, alterations of metabolic enzymes were another outstanding feature in comparison to normal B cells, indicating increased beta-oxidation of fatty acids and increased consumption of glutamine. Targeted metabolomics assays corroborated these results. The present findings identify previously unrecognized features of CLL cells and suggest that aging may be accompanied by proteome alterations functionally relevant for predisposing B cells to transform to CLL cells.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""residues isobaric at 128.058578 Da"",""UNIMOD"":""188""}]"	"[""Q Exactive""]"	"[""Biological"",""Biomedical""]"	"[""Shotgun proteomics""]"		Chronic lymphocytic leukemia, primary human B lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, Q Exactive orbitrap	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification and qualitative data analysis. Protein identification was achieved searching against the SwissProt Database (version 11/2015 with 20 193 entries) allowing a mass tolerance of 50ppm for MS spectra and 100mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	24/05/2017	"[[""PMID:29196338"",""DOI:10.1074/mcp.ra117.000425""]]"
