accession;tissues
PXD000561;['prostate gland', 'gut', 'testis', 'helper T-lymphocyte', 'kidney', 'retina', 'pancreas', 'adrenal gland', 'spinal cord', 'natural killer cell', 'cytotoxic T-lymphocyte', 'liver', 'urinary bladder', 'gall bladder', 'brain', 'heart', 'lung', 'ovary', 'blood platelet', 'frontal lobe', 'B-lymphocyte', 'colon', 'placenta', 'monocyte', 'rectum', 'esophagus']
PXD013616;['whole body']
PXD017023;['kidney', 'embryo']
PXD017976;['blood platelet']
PXD005093;['cell culture']
PXD014524;['kidney', 'blood plasma', 'blood']
PXD009261;['cornea']
PXD016126;['saliva']
PXD016555;['ascites', 'macrophage']
PXD015571;['cell culture']
PXD005970;['lung']
PXD017983;['cell culture']
PXD017011;['kidney']
PXD016832;['medulloblastoma cell']
PXD015518;['skin']
PXD013064;['cell culture']
PXD016994;['cell culture']
PXD005611;['cell culture']
PXD005514;['cell culture']
PXD014894;['blood']
PXD012615;['liver']
PXD013075;['cell culture']
PXD013038;['kidney']
PXD015039;['cell suspension culture']
PXD018061;['cell culture']
PXD010154;['oviduct', 'prostate gland', 'smooth muscle', 'thyroid gland', 'stomach', 'testis', 'kidney', 'pancreas', 'hypophysis', 'adrenal gland', 'tonsil', 'liver', 'spleen', 'urinary bladder', 'adipose tissue', 'uterine endometrium', 'vermiform appendix', 'gall bladder', 'brain', 'duodenum', 'heart', 'bone marrow', 'salivary gland', 'lung', 'ovary', 'lymph node', 'colon', 'placenta', 'rectum', 'small intestine', 'esophagus']
PXD018880;['cell culture']
PXD018502;['blood serum']
PXD012970;['testis']
PXD017268;['saliva']
PXD018625;['embryo']
PXD015780;['blood']
PXD018661;['cell culture']
PXD016865;['stomach']
PXD013219;['cell culture']
PXD017792;['cell culture']
PXD018918;['cell culture']
PXD013541;['cell culture']
PXD018270;['cell culture']
PXD017391;['cell culture']
PXD017030;['kidney', 'embryo']
PXD015836;['skin fibroblast']
PXD018682;['saliva']
PXD010508;['primary cell']
PXD018621;['cell culture']
PXD014254;['THP-1 cell']
PXD018330;['cell culture']
PXD012971;['prostate gland']
PXD018588;['activated skeletal muscle satellite cell']
PXD017056;['blood']
PXD015239;['brain']
PXD012029;['colon']
PXD015653;['colon']
PXD015847;['cell culture']
PXD015817;['dental plaque']
PXD014300;['cervicovaginal fluid', 'CACO-2 cell', 'cardiomyocyte cell line', 'blood plasma', 'cell culture', 'HeLa cell', 'adipocyte', 'placenta', 'brain', 'HepG2 cell']
PXD014381;['cell culture']
PXD014369;['cell culture']
PXD017989;['cell suspension culture']
PXD012732;['cell culture']
PXD012733;['cell culture']
PXD012734;['cell culture']
PXD015877;['cell culture']
PXD017261;['primary cell']
PXD017213;['kidney']
PXD018226;['cerebrospinal fluid']
PXD015163;['blood plasma']
PXD013649;['lung']
PXD014199;['cell culture']
PXD011116;['lung']
PXD016437;['urine']
PXD012960;['blood plasma']
PXD018450;['cell culture']
PXD011961;['cell culture']
PXD017586;['cell culture']
PXD017482;['cell culture']
PXD015441;['cell culture']
PXD016618;['cell culture']
PXD017717;['cell culture']
PXD016261;['skin']
PXD011178;['liver']
PXD017804;['blood']
PXD004928;['anterior chamber of the eye']
PXD005978;['blood']
PXD018208;['blood']
PXD015523;['colon']
PXD017656;['brain']
PXD011129;['lung']
PXD018048;['cell culture']
PXD015656;['cell culture']
PXD018678;['heart']
PXD018143;['cell culture']
PXD016968;['cell culture']
PXD008299;['cell culture']
PXD017642;['HEK-293T cell']
