,assay_id,cell_line,filename,PXD_accession,Protein_count
0,30960,Hep3B,3B10-1,PXD000533,997
1,30961,Hep3B,3B10-2,PXD000533,1013
2,30962,Hep3B,3B1-1,PXD000533,1081
3,30963,Hep3B,3B11-1,PXD000533,1060
4,30964,Hep3B,3B11-2,PXD000533,1025
5,30965,Hep3B,3B1-2,PXD000533,1049
6,30966,Hep3B,3B12-1,PXD000533,1061
7,30967,Hep3B,3B12-2,PXD000533,1026
8,30968,Hep3B,3B13-1,PXD000533,1170
9,30969,Hep3B,3B13-2,PXD000533,1211
10,30970,Hep3B,3B14-1,PXD000533,1276
11,30971,Hep3B,3B14-2,PXD000533,1298
12,30972,Hep3B,3B15-1,PXD000533,1267
13,30973,Hep3B,3B15-2,PXD000533,1301
14,30974,Hep3B,3B16-1,PXD000533,1261
15,30975,Hep3B,3B16-2,PXD000533,1242
16,30976,Hep3B,3B17-1,PXD000533,1239
17,30977,Hep3B,3B17-2,PXD000533,1236
18,30978,Hep3B,3B18-1,PXD000533,1242
19,30979,Hep3B,3B18-2,PXD000533,1249
20,30980,Hep3B,3B19-1,PXD000533,1261
21,30981,Hep3B,3B19-2,PXD000533,1298
22,30982,Hep3B,3B20-1,PXD000533,1252
23,30983,Hep3B,3B20-2,PXD000533,1242
24,30984,Hep3B,3B2-1,PXD000533,1118
25,30985,Hep3B,3B21-1,PXD000533,1178
26,30986,Hep3B,3B21-2,PXD000533,1147
27,30987,Hep3B,3B2-2,PXD000533,1103
28,30988,Hep3B,3B22-1,PXD000533,1068
29,30989,Hep3B,3B22-2,PXD000533,1041
30,30990,Hep3B,3B23-1,PXD000533,1024
31,30991,Hep3B,3B23-2,PXD000533,1034
32,30992,Hep3B,3B24-1,PXD000533,1001
33,30993,Hep3B,3B24-2,PXD000533,993
34,30994,Hep3B,3B3-1,PXD000533,1103
35,30995,Hep3B,3B3-2,PXD000533,1086
36,30996,Hep3B,3B4-1,PXD000533,1145
37,30997,Hep3B,3B4-2,PXD000533,1033
38,30998,Hep3B,3B5-1,PXD000533,1098
39,30999,Hep3B,3B5-2,PXD000533,1184
40,31000,Hep3B,3B6-1,PXD000533,1136
41,31001,Hep3B,3B6-2,PXD000533,1126
42,31002,Hep3B,3B7-1,PXD000533,923
43,31003,Hep3B,3B7-2,PXD000533,927
44,31004,Hep3B,3B8-1,PXD000533,1051
45,31005,Hep3B,3B8-2,PXD000533,1070
46,31006,Hep3B,3B9-1,PXD000533,1101
47,31007,Hep3B,3B9-2,PXD000533,1076
48,31008,MHCC97,H10-1,PXD000533,1041
49,31009,MHCC97,H10-2,PXD000533,1061
50,31010,MHCC97,H1-1,PXD000533,1020
51,31011,MHCC97,H11-1,PXD000533,992
52,31012,MHCC97,H11-2,PXD000533,966
53,31013,MHCC97,H1-2,PXD000533,994
54,31014,MHCC97,H12-1,PXD000533,1019
55,31015,MHCC97,H12-2,PXD000533,1002
56,31016,MHCC97,H13-1,PXD000533,1165
57,31017,MHCC97,H13-2,PXD000533,1121
58,31018,MHCC97,H14-1,PXD000533,1216
59,31019,MHCC97,H14-2,PXD000533,1165
60,31020,MHCC97,H15-1,PXD000533,1186
61,31021,MHCC97,H15-2,PXD000533,1191
62,31022,MHCC97,H16-1,PXD000533,1143
63,31023,MHCC97,H16-2,PXD000533,1203
64,31024,MHCC97,H17-1,PXD000533,1192
65,31025,MHCC97,H17-2,PXD000533,1165
66,31026,MHCC97,H18-1,PXD000533,1180
67,31027,MHCC97,H18-2,PXD000533,1214
68,31028,MHCC97,H19-1,PXD000533,1234
69,31029,MHCC97,H19-2,PXD000533,1220
70,31030,MHCC97,H20-1,PXD000533,1190
71,31031,MHCC97,H20-2,PXD000533,1199
72,31032,MHCC97,H2-1,PXD000533,1042
73,31033,MHCC97,H21-1,PXD000533,1110
74,31034,MHCC97,H21-2,PXD000533,1084
75,31035,MHCC97,H2-2,PXD000533,1009
76,31036,MHCC97,H22-1,PXD000533,978
77,31037,MHCC97,H22-2,PXD000533,995
78,31038,MHCC97,H23-1,PXD000533,996
79,31039,MHCC97,H23-2,PXD000533,960
80,31040,MHCC97,H24-1,PXD000533,911
81,31041,MHCC97,H24-2,PXD000533,884
82,31042,MHCC97,H3-1,PXD000533,970
83,31043,MHCC97,H3-2,PXD000533,958
84,31044,MHCC97,H4-1,PXD000533,998
85,31045,MHCC97,H4-2,PXD000533,1002
86,31046,MHCC97,H5-1,PXD000533,1079
87,31047,MHCC97,H5-2,PXD000533,1043
88,31048,MHCC97,H6-1,PXD000533,1018
89,31049,MHCC97,H6-2,PXD000533,1011
90,31050,MHCC97,H7-1,PXD000533,1005
91,31051,MHCC97,H7-2,PXD000533,1084
92,31052,MHCC97,H8-1,PXD000533,1097
93,31053,MHCC97,H8-2,PXD000533,1044
94,31054,MHCC97,H9-1,PXD000533,1013
95,31055,MHCC97,H9-2,PXD000533,971
96,31056,Jurkat,QEXI09098,PXD004280,1316
97,31057,Jurkat,QEXI09100,PXD004280,1357
98,31058,Jurkat,QEXI09102,PXD004280,1400
99,31059,Jurkat,QEXI09104,PXD004280,1410
100,31060,Jurkat,QEXI09106,PXD004280,1415
101,31061,Jurkat,QEXI09108,PXD004280,1444
102,31062,Jurkat,QEXI09110,PXD004280,1379
103,31063,Jurkat,QEXI09112,PXD004280,1406
104,31064,Jurkat,QEXI09114,PXD004280,1306
