model;fold;micro_f1;macro_f1;weighted_f1;selector
LogisticRegression;0;1.0;1.0;1.0;anova
SVC;0;1.0;1.0;1.0;anova
RandomForestClassifier;0;1.0;1.0;1.0;anova
LGBMClassifier;0;0.9423076923076924;0.9288888888888888;0.9423076923076924;anova
LogisticRegression;0;0.9807692307692308;0.9742690058479532;0.983468286099865;MI
SVC;0;0.9807692307692308;0.9923809523809524;0.9805860805860804;MI
RandomForestClassifier;0;0.9615384615384616;0.9228282828282828;0.953030303030303;MI
LGBMClassifier;0;0.9423076923076924;0.9358563074352548;0.951325428957008;MI
LogisticRegression;0;1.0;1.0;1.0;LR
SVC;0;0.9807692307692308;0.9746031746031746;0.978021978021978;LR
RandomForestClassifier;0;1.0;1.0;1.0;LR
LGBMClassifier;0;0.9807692307692308;0.9746031746031746;0.978021978021978;LR
LogisticRegression;0;0.9615384615384616;0.9549206349206348;0.963919413919414;anova
SVC;0;0.9423076923076924;0.9488600288600288;0.94002664002664;anova
RandomForestClassifier;0;0.9615384615384616;0.9228282828282828;0.953030303030303;anova
LGBMClassifier;0;0.9615384615384616;0.8903703703703704;0.9517094017094018;anova
LogisticRegression;0;0.9423076923076924;0.9401709401709402;0.945266272189349;MI
SVC;0;0.9230769230769232;0.9147741147741149;0.9232882502113272;MI
RandomForestClassifier;0;0.9230769230769232;0.8747859547859548;0.9122488622488624;MI
LGBMClassifier;0;0.9230769230769232;0.8585282651072125;0.9204340980656768;MI
LogisticRegression;0;0.9807692307692308;0.9733333333333332;0.9833333333333332;LR
SVC;0;0.9230769230769232;0.9512820512820512;0.9196252465483234;LR
RandomForestClassifier;0;0.9807692307692308;0.9301587301587302;0.9716117216117216;LR
LGBMClassifier;0;0.9615384615384616;0.911957671957672;0.9537240537240538;LR
LogisticRegression;0;0.9423076923076924;0.9401709401709402;0.945266272189349;RF
SVC;0;0.9230769230769232;0.9207770007770008;0.920091447014524;RF
RandomForestClassifier;0;0.9615384615384616;0.9081481481481484;0.9542735042735044;RF
LGBMClassifier;0;0.9615384615384616;0.9081481481481484;0.9542735042735044;RF
LogisticRegression;0;0.9807692307692308;0.9733333333333332;0.9833333333333332;SVC
SVC;0;0.9615384615384616;0.9672727272727272;0.9594405594405594;SVC
RandomForestClassifier;0;0.9423076923076924;0.8849735449735451;0.9335775335775336;SVC
LGBMClassifier;0;0.9423076923076924;0.8731154684095862;0.9353946706887885;SVC
LogisticRegression;1;0.9807692307692308;0.9873015873015872;0.97985347985348;anova
SVC;1;1.0;1.0;1.0;anova
RandomForestClassifier;1;0.9615384615384616;0.9717171717171718;0.9568764568764568;anova
LGBMClassifier;1;0.9615384615384616;0.9446393762183236;0.9621007647323436;anova
LogisticRegression;1;0.9807692307692308;0.989083820662768;0.9813315339631128;MI
SVC;1;0.9807692307692308;0.9746031746031746;0.978021978021978;MI
RandomForestClassifier;1;0.9807692307692308;0.9746031746031746;0.978021978021978;MI
LGBMClassifier;1;0.9807692307692308;0.9682539682539684;0.9789377289377288;MI
LogisticRegression;1;1.0;1.0;1.0;LR
SVC;1;1.0;1.0;1.0;LR
RandomForestClassifier;1;1.0;1.0;1.0;LR
LGBMClassifier;1;1.0;1.0;1.0;LR
LogisticRegression;1;0.9807692307692308;0.989083820662768;0.9813315339631128;RF
SVC;1;0.9807692307692308;0.9746031746031746;0.978021978021978;RF
RandomForestClassifier;1;0.9807692307692308;0.9555555555555556;0.9807692307692308;RF
LGBMClassifier;1;0.9807692307692308;0.9644444444444444;0.9794871794871796;RF
LogisticRegression;1;0.9807692307692308;0.983157894736842;0.9821862348178138;SVC
SVC;1;0.9807692307692308;0.9746031746031746;0.978021978021978;SVC
RandomForestClassifier;1;1.0;1.0;1.0;SVC
LGBMClassifier;1;0.9615384615384616;0.9387134502923976;0.9629554655870446;SVC
LogisticRegression;2;0.9807692307692308;0.9294117647058824;0.9717194570135748;anova
SVC;2;0.9615384615384616;0.9218253968253968;0.9523809523809524;anova
RandomForestClassifier;2;0.9615384615384616;0.9218253968253968;0.9523809523809524;anova
LGBMClassifier;2;0.9230769230769232;0.9001010101010102;0.9163170163170165;anova
LogisticRegression;2;0.9230769230769232;0.9053376906318084;0.931121166415284;MI
SVC;2;0.903846153846154;0.8924908424908425;0.9032121724429416;MI
RandomForestClassifier;2;0.9423076923076924;0.9094155844155846;0.9330669330669332;MI
LGBMClassifier;2;0.903846153846154;0.8882832080200501;0.9037015615962984;MI
LogisticRegression;2;1.0;1.0;1.0;LR
SVC;2;0.9423076923076924;0.9151138716356108;0.9337075967510752;LR
RandomForestClassifier;2;0.9423076923076924;0.9133044733044734;0.942041292041292;LR
LGBMClassifier;2;0.9615384615384616;0.9627513227513228;0.9592185592185593;LR
LogisticRegression;2;0.903846153846154;0.8915384615384615;0.9026627218934912;RF
SVC;2;0.9423076923076924;0.910925925925926;0.9337606837606838;RF
RandomForestClassifier;2;0.9423076923076924;0.9106694271911664;0.934440197483676;RF
