model;fold;micro_f1;macro_f1;weighted_f1;cm;Imputation;Normalization;PXD
LogisticRegression;1;1.0;1.0;1.0;[[4]];KNN+LOD;NSAF;PXD000533
SVC;1;1.0;1.0;1.0;[[4]];KNN+LOD;NSAF;PXD000533
RandomForestClassifier;1;0.5;0.3333333333333333;0.6666666666666666;"[[2 2]
 [0 0]]";KNN+LOD;NSAF;PXD000533
LGBMClassifier;1;0.25;0.1333333333333333;0.4;"[[0 0 0]
 [0 0 0]
 [1 2 1]]";KNN+LOD;NSAF;PXD000533
LogisticRegression;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNN+LOD;ComBat;PXD000533
SVC;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNN+LOD;ComBat;PXD000533
RandomForestClassifier;1;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";KNN+LOD;ComBat;PXD000533
LGBMClassifier;1;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 2]
 [0 0 0 0]]";KNN+LOD;ComBat;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];KNN+LOD;Quantile;PXD000533
SVC;1;1.0;1.0;1.0;[[4]];KNN+LOD;Quantile;PXD000533
RandomForestClassifier;1;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";KNN+LOD;Quantile;PXD000533
LGBMClassifier;1;1.0;1.0;1.0;[[4]];KNN+LOD;Quantile;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];KNN+LOD;Median Norm;PXD000533
SVC;1;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";KNN+LOD;Median Norm;PXD000533
RandomForestClassifier;1;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";KNN+LOD;Median Norm;PXD000533
LGBMClassifier;1;0.5;0.2222222222222222;0.6666666666666666;"[[0 0 0]
 [0 0 0]
 [1 1 2]]";KNN+LOD;Median Norm;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];PCA+LOD;NSAF;PXD000533
SVC;1;1.0;1.0;1.0;[[4]];PCA+LOD;NSAF;PXD000533
RandomForestClassifier;1;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";PCA+LOD;NSAF;PXD000533
LGBMClassifier;1;0.25;0.2;0.4;"[[0 0]
 [3 1]]";PCA+LOD;NSAF;PXD000533
LogisticRegression;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA+LOD;ComBat;PXD000533
SVC;1;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";PCA+LOD;ComBat;PXD000533
RandomForestClassifier;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA+LOD;ComBat;PXD000533
LGBMClassifier;1;0.0;0.0;0.0;"[[0 0 0 0]
 [2 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]";PCA+LOD;ComBat;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];PCA+LOD;Quantile;PXD000533
SVC;1;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";PCA+LOD;Quantile;PXD000533
RandomForestClassifier;1;0.5;0.2222222222222222;0.6666666666666666;"[[0 0 0]
 [1 2 1]
 [0 0 0]]";PCA+LOD;Quantile;PXD000533
LGBMClassifier;1;1.0;1.0;1.0;[[4]];PCA+LOD;Quantile;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];PCA+LOD;Median Norm;PXD000533
SVC;1;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";PCA+LOD;Median Norm;PXD000533
RandomForestClassifier;1;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";PCA+LOD;Median Norm;PXD000533
LGBMClassifier;1;1.0;1.0;1.0;[[4]];PCA+LOD;Median Norm;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;NSAF;PXD000533
SVC;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;NSAF;PXD000533
RandomForestClassifier;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;NSAF;PXD000533
LGBMClassifier;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;NSAF;PXD000533
LogisticRegression;1;0.25;0.2;0.4;"[[0 0]
 [3 1]]";Shifted Gaussian;ComBat;PXD000533
SVC;1;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";Shifted Gaussian;ComBat;PXD000533
RandomForestClassifier;1;0.5;0.3333333333333333;0.6666666666666666;"[[0 0]
 [2 2]]";Shifted Gaussian;ComBat;PXD000533
LGBMClassifier;1;0.75;0.4285714285714285;0.8571428571428571;"[[3 1]
 [0 0]]";Shifted Gaussian;ComBat;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Quantile;PXD000533
SVC;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Quantile;PXD000533
RandomForestClassifier;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Quantile;PXD000533
LGBMClassifier;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Quantile;PXD000533
LogisticRegression;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Median Norm;PXD000533
SVC;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Median Norm;PXD000533
RandomForestClassifier;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Median Norm;PXD000533
LGBMClassifier;1;1.0;1.0;1.0;[[4]];Shifted Gaussian;Median Norm;PXD000533
LogisticRegression;1;0.0;0.0;0.0;"[[0 1 1 2]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;NSAF;PXD000533
SVC;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;NSAF;PXD000533
RandomForestClassifier;1;0.0;0.0;0.0;"[[0 2 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;NSAF;PXD000533
LGBMClassifier;1;0.0;0.0;0.0;"[[0 1 1 1 1]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]
 [0 0 0 0 0]]";KNNImpute;NSAF;PXD000533
LogisticRegression;1;0.25;0.1;0.4;"[[0 0 0 0]
 [1 1 1 1]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;ComBat;PXD000533
SVC;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;ComBat;PXD000533
RandomForestClassifier;1;0.0;0.0;0.0;"[[0 0 0]
 [3 0 1]
 [0 0 0]]";KNNImpute;ComBat;PXD000533
LGBMClassifier;1;0.25;0.1333333333333333;0.4;"[[0 0 0]
 [2 1 1]
 [0 0 0]]";KNNImpute;ComBat;PXD000533
LogisticRegression;1;0.0;0.0;0.0;"[[0 0 0 0]
 [1 0 2 1]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;Quantile;PXD000533
SVC;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;Quantile;PXD000533
RandomForestClassifier;1;0.0;0.0;0.0;"[[0 0 0 0]
 [1 0 1 2]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;Quantile;PXD000533
LGBMClassifier;1;0.25;0.1;0.4;"[[1 1 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]";KNNImpute;Quantile;PXD000533
LogisticRegression;1;0.0;0.0;0.0;"[[0 2 2]
 [0 0 0]
 [0 0 0]]";KNNImpute;Median Norm;PXD000533
SVC;1;0.0;0.0;0.0;"[[0 0]
 [4 0]]";KNNImpute;Median Norm;PXD000533
RandomForestClassifier;1;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 2]
 [0 0 0 0]]";KNNImpute;Median Norm;PXD000533
