;assay_id;cell_line;filename;PXD_accession;Protein_count;pool_id;comments
0;30960;Hep3B;3B10-1;PXD000533;997;1;
1;30961;Hep3B;3B10-2;PXD000533;1013;2;
2;30962;Hep3B;3B1-1;PXD000533;1081;1;
3;30963;Hep3B;3B11-1;PXD000533;1060;1;
4;30964;Hep3B;3B11-2;PXD000533;1025;2;
5;30965;Hep3B;3B1-2;PXD000533;1049;2;
6;30966;Hep3B;3B12-1;PXD000533;1061;1;
7;30967;Hep3B;3B12-2;PXD000533;1026;2;
8;30968;Hep3B;3B13-1;PXD000533;1170;1;
9;30969;Hep3B;3B13-2;PXD000533;1211;2;
10;30970;Hep3B;3B14-1;PXD000533;1276;1;
11;30971;Hep3B;3B14-2;PXD000533;1298;2;
12;30972;Hep3B;3B15-1;PXD000533;1267;1;
13;30973;Hep3B;3B15-2;PXD000533;1301;2;
14;30974;Hep3B;3B16-1;PXD000533;1261;1;
15;30975;Hep3B;3B16-2;PXD000533;1242;2;
16;30976;Hep3B;3B17-1;PXD000533;1239;1;
17;30977;Hep3B;3B17-2;PXD000533;1236;2;
18;30978;Hep3B;3B18-1;PXD000533;1242;1;
19;30979;Hep3B;3B18-2;PXD000533;1249;2;
20;30980;Hep3B;3B19-1;PXD000533;1261;1;
21;30981;Hep3B;3B19-2;PXD000533;1298;2;
22;30982;Hep3B;3B20-1;PXD000533;1252;1;
23;30983;Hep3B;3B20-2;PXD000533;1242;2;
24;30984;Hep3B;3B2-1;PXD000533;1118;1;
25;30985;Hep3B;3B21-1;PXD000533;1178;1;
26;30986;Hep3B;3B21-2;PXD000533;1147;2;
27;30987;Hep3B;3B2-2;PXD000533;1103;2;
28;30988;Hep3B;3B22-1;PXD000533;1068;1;
29;30989;Hep3B;3B22-2;PXD000533;1041;2;
30;30990;Hep3B;3B23-1;PXD000533;1024;1;
31;30991;Hep3B;3B23-2;PXD000533;1034;2;
32;30992;Hep3B;3B24-1;PXD000533;1001;1;
33;30993;Hep3B;3B24-2;PXD000533;993;2;
34;30994;Hep3B;3B3-1;PXD000533;1103;1;
35;30995;Hep3B;3B3-2;PXD000533;1086;2;
36;30996;Hep3B;3B4-1;PXD000533;1145;1;
37;30997;Hep3B;3B4-2;PXD000533;1033;2;
38;30998;Hep3B;3B5-1;PXD000533;1098;1;
39;30999;Hep3B;3B5-2;PXD000533;1184;2;
40;31000;Hep3B;3B6-1;PXD000533;1136;1;
41;31001;Hep3B;3B6-2;PXD000533;1126;2;
42;31002;Hep3B;3B7-1;PXD000533;923;1;
43;31003;Hep3B;3B7-2;PXD000533;927;2;
44;31004;Hep3B;3B8-1;PXD000533;1051;1;
45;31005;Hep3B;3B8-2;PXD000533;1070;2;
46;31006;Hep3B;3B9-1;PXD000533;1101;1;
47;31007;Hep3B;3B9-2;PXD000533;1076;2;
48;31008;MHCC97;H10-1;PXD000533;1041;3;
49;31009;MHCC97;H10-2;PXD000533;1061;4;
50;31010;MHCC97;H1-1;PXD000533;1020;3;
51;31011;MHCC97;H11-1;PXD000533;992;3;
52;31012;MHCC97;H11-2;PXD000533;966;4;
53;31013;MHCC97;H1-2;PXD000533;994;4;
54;31014;MHCC97;H12-1;PXD000533;1019;3;
55;31015;MHCC97;H12-2;PXD000533;1002;4;
56;31016;MHCC97;H13-1;PXD000533;1165;3;
57;31017;MHCC97;H13-2;PXD000533;1121;4;
58;31018;MHCC97;H14-1;PXD000533;1216;3;
59;31019;MHCC97;H14-2;PXD000533;1165;4;
60;31020;MHCC97;H15-1;PXD000533;1186;3;
61;31021;MHCC97;H15-2;PXD000533;1191;4;
62;31022;MHCC97;H16-1;PXD000533;1143;3;
63;31023;MHCC97;H16-2;PXD000533;1203;4;
64;31024;MHCC97;H17-1;PXD000533;1192;3;
65;31025;MHCC97;H17-2;PXD000533;1165;4;
66;31026;MHCC97;H18-1;PXD000533;1180;3;
67;31027;MHCC97;H18-2;PXD000533;1214;4;
68;31028;MHCC97;H19-1;PXD000533;1234;3;
69;31029;MHCC97;H19-2;PXD000533;1220;4;
70;31030;MHCC97;H20-1;PXD000533;1190;3;
71;31031;MHCC97;H20-2;PXD000533;1199;4;
72;31032;MHCC97;H2-1;PXD000533;1042;3;
73;31033;MHCC97;H21-1;PXD000533;1110;4;
74;31034;MHCC97;H21-2;PXD000533;1084;3;
75;31035;MHCC97;H2-2;PXD000533;1009;4;
76;31036;MHCC97;H22-1;PXD000533;978;3;
77;31037;MHCC97;H22-2;PXD000533;995;4;
78;31038;MHCC97;H23-1;PXD000533;996;3;
79;31039;MHCC97;H23-2;PXD000533;960;4;
80;31040;MHCC97;H24-1;PXD000533;911;3;
81;31041;MHCC97;H24-2;PXD000533;884;4;
82;31042;MHCC97;H3-1;PXD000533;970;3;
83;31043;MHCC97;H3-2;PXD000533;958;4;
84;31044;MHCC97;H4-1;PXD000533;998;3;
85;31045;MHCC97;H4-2;PXD000533;1002;4;
86;31046;MHCC97;H5-1;PXD000533;1079;3;
87;31047;MHCC97;H5-2;PXD000533;1043;4;
88;31048;MHCC97;H6-1;PXD000533;1018;3;
89;31049;MHCC97;H6-2;PXD000533;1011;4;
90;31050;MHCC97;H7-1;PXD000533;1005;3;
91;31051;MHCC97;H7-2;PXD000533;1084;4;
92;31052;MHCC97;H8-1;PXD000533;1097;3;
93;31053;MHCC97;H8-2;PXD000533;1044;4;
94;31054;MHCC97;H9-1;PXD000533;1013;3;
95;31055;MHCC97;H9-2;PXD000533;971;4;
96;31056;Jurkat;QEXI09098;PXD004280;1316;no_annotation;
97;31057;Jurkat;QEXI09100;PXD004280;1357;no_annotation;
98;31058;Jurkat;QEXI09102;PXD004280;1400;no_annotation;
99;31059;Jurkat;QEXI09104;PXD004280;1410;no_annotation;
100;31060;Jurkat;QEXI09106;PXD004280;1415;no_annotation;
101;31061;Jurkat;QEXI09108;PXD004280;1444;no_annotation;
102;31062;Jurkat;QEXI09110;PXD004280;1379;no_annotation;
103;31063;Jurkat;QEXI09112;PXD004280;1406;no_annotation;
104;31064;Jurkat;QEXI09114;PXD004280;1306;no_annotation;
105;31065;Jurkat;QEXI09116;PXD004280;1368;no_annotation;
106;31066;Jurkat;QEXI09118;PXD004280;1400;no_annotation;
107;31067;Jurkat;QEXI09120;PXD004280;1478;no_annotation;
108;31068;Jurkat;QEXI09122;PXD004280;1404;no_annotation;
109;31069;Jurkat;QEXI09124;PXD004280;1392;no_annotation;
110;31070;Jurkat;QEXI09126;PXD004280;1527;no_annotation;
111;31071;Jurkat;QEXI09128;PXD004280;1480;no_annotation;
112;31072;Jurkat;QEXI09130;PXD004280;1531;no_annotation;
113;31073;Jurkat;QEXI09132;PXD004280;1498;no_annotation;
114;31074;Jurkat;QEXI09134;PXD004280;1420;no_annotation;
115;31075;Jurkat;QEXI09136;PXD004280;1393;no_annotation;
116;31076;Jurkat;QEXI09138;PXD004280;1513;no_annotation;
117;31077;Jurkat;QEXI09140;PXD004280;1412;no_annotation;
118;31078;Jurkat;QEXI09147;PXD004280;1248;no_annotation;
119;31079;Jurkat;QEXI09149;PXD004280;1244;no_annotation;
120;31080;Jurkat;QEXI09151;PXD004280;1177;no_annotation;
121;31081;Jurkat;QEXI09153;PXD004280;1144;no_annotation;
122;31082;Jurkat;QEXI09155;PXD004280;1369;no_annotation;
123;31083;Jurkat;QEXI09157;PXD004280;1403;no_annotation;
124;31084;Jurkat;QEXI09159;PXD004280;1488;no_annotation;
125;31085;Jurkat;QEXI09161;PXD004280;1498;no_annotation;
126;31086;Jurkat;QEXI09163;PXD004280;1393;no_annotation;
127;31087;Jurkat;QEXI09165;PXD004280;1288;no_annotation;
128;31088;Jurkat;QEXI09167;PXD004280;1235;no_annotation;
129;31089;Jurkat;QEXI09169;PXD004280;1255;no_annotation;
130;31090;Jurkat;QEXI09171;PXD004280;1439;no_annotation;
131;31091;Jurkat;QEXI09173;PXD004280;1337;no_annotation;
132;31092;Jurkat;QEXI09175;PXD004280;1197;no_annotation;
133;31093;Jurkat;QEXI09177;PXD004280;1185;no_annotation;
134;31094;Jurkat;QEXI09179;PXD004280;946;no_annotation;
135;31095;Jurkat;QEXI09181;PXD004280;1296;no_annotation;
136;31096;Jurkat;QEXI09183;PXD004280;1152;no_annotation;
137;31097;Jurkat;QEXI09185;PXD004280;1101;no_annotation;
138;31098;LAN5;FASP_1_01;PXD002842;586;0;
139;31099;LAN5;FASP_1_02;PXD002842;313;0;
