PXD,RAW,Useable,cell_line,disease,tissue_type,treatment,sub_cell,pool_id,file_path
PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,
PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,
PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,
PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,
PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,
PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,
PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,
PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,
PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,
PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,
PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,
PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,
PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,
PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,
PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,
PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,
PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,
PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,
PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,
PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,
PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,
PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,
PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,
PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,
PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,
PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,
PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,
PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,
PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,
PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,
PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,
PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,
PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,
PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,
PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,
PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,
PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,
PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,
PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,
PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,
PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,
PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,
PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,
PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,
PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,
PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,
PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,
PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,
PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH11,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,
PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH3,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,
PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH4,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,
PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH5,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,
