,PXD,RAW,Useable,cell_line,disease,tissue_type,treatment,sub_cell,pool_id,file_path
0,PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH11.mgf.gzip/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH11.mgf.gzip.ionbot.csv
1,PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH3.mgf.gzip/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH3.mgf.gzip.ionbot.csv
2,PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH4.mgf.gzip/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH4.mgf.gzip.ionbot.csv
3,PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH5.mgf.gzip/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH5.mgf.gzip.ionbot.csv
4,PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH6.mgf.gzip/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH6.mgf.gzip.ionbot.csv
5,PXD000612,20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,7,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH8.mgf.gzip/20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH8.mgf.gzip.ionbot.csv
6,PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH11.mgf.gzip/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH11.mgf.gzip.ionbot.csv
7,PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH3.mgf.gzip/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH3.mgf.gzip.ionbot.csv
8,PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH4.mgf.gzip/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH4.mgf.gzip.ionbot.csv
9,PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH5.mgf.gzip/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH5.mgf.gzip.ionbot.csv
