,assay_id,project_id,filename,cell_id,cell_line,disease,treatment,tissue_type,sub_cell,organ_id,PXD_accession,all_PSM,sign_PSM,peptides,proteins
0,30960,1815,3B10-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11014,10578,9705,2401
1,30961,1815,3B10-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11530,11036,10104,2449
2,30962,1815,3B1-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11558,10874,9947,2620
3,30963,1815,3B11-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11821,11205,9940,2542
4,30964,1815,3B11-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11704,11014,9757,2449
5,30965,1815,3B1-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10818,10191,9319,2544
6,30966,1815,3B12-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11163,10685,9495,2441
7,30967,1815,3B12-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11540,11005,9764,2434
8,30968,1815,3B13-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12735,12099,11047,2730
9,30969,1815,3B13-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13619,12865,11686,2850
10,30970,1815,3B14-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13021,12356,11088,2864
11,30971,1815,3B14-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13414,12788,11498,2889
12,30972,1815,3B15-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12859,12302,11076,2890
13,30973,1815,3B15-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13244,12537,11269,2900
14,30974,1815,3B16-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13646,13024,11852,2952
15,30975,1815,3B16-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13525,12816,11668,2893
16,30976,1815,3B17-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13121,12529,11397,2871
