PXD,RAW,Useable,cell_line,disease,file_path,pool_id,sub_cell,tissue_type,treatment,all_PSM,sign_PSM,peptides,proteins
PXD018450,01_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/01_1.mgf.gzip/01_1.mgf.gzip.ionbot.csv,1,/,liver,/,16740,2115,476,55
PXD018450,01_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/01_2.mgf.gzip/01_2.mgf.gzip.ionbot.csv,2,/,liver,/,17249,2156,475,59
PXD018450,02_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/02_1.mgf.gzip/02_1.mgf.gzip.ionbot.csv,1,/,liver,/,13676,2026,477,63
PXD018450,02_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/02_2.mgf.gzip/02_2.mgf.gzip.ionbot.csv,2,/,liver,/,13336,1965,482,68
PXD018450,03_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/03_1.mgf.gzip/03_1.mgf.gzip.ionbot.csv,1,/,liver,/,25184,3373,956,125
PXD018450,03_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/03_2.mgf.gzip/03_2.mgf.gzip.ionbot.csv,2,/,liver,/,26951,3514,983,126
PXD018450,04_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/04_1.mgf.gzip/04_1.mgf.gzip.ionbot.csv,1,/,liver,/,22836,3293,842,101
PXD018450,04_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/04_2.mgf.gzip/04_2.mgf.gzip.ionbot.csv,2,/,liver,/,22302,3152,790,94
PXD018450,05_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/05_1.mgf.gzip/05_1.mgf.gzip.ionbot.csv,1,/,liver,/,32006,4476,1526,141
PXD018450,05_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/05_2.mgf.gzip/05_2.mgf.gzip.ionbot.csv,2,/,liver,/,33332,4674,1580,141
