PXD,RAW,Useable,cell_line,disease,tissue_type,treatment,sub_cell,pool_id,file_path
PXD001468,b1906_293T_proteinID_01A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1906_293T_proteinID_01A_QE3_122212.mgf.gzip/b1906_293T_proteinID_01A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1922_293T_proteinID_02A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1922_293T_proteinID_02A_QE3_122212.mgf.gzip/b1922_293T_proteinID_02A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1923_293T_proteinID_03A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1923_293T_proteinID_03A_QE3_122212.mgf.gzip/b1923_293T_proteinID_03A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1924_293T_proteinID_04A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1924_293T_proteinID_04A_QE3_122212.mgf.gzip/b1924_293T_proteinID_04A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1925_293T_proteinID_05A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1925_293T_proteinID_05A_QE3_122212.mgf.gzip/b1925_293T_proteinID_05A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1926_293T_proteinID_06A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1926_293T_proteinID_06A_QE3_122212.mgf.gzip/b1926_293T_proteinID_06A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1927_293T_proteinID_07A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1927_293T_proteinID_07A_QE3_122212.mgf.gzip/b1927_293T_proteinID_07A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1928_293T_proteinID_08A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1928_293T_proteinID_08A_QE3_122212.mgf.gzip/b1928_293T_proteinID_08A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1929_293T_proteinID_09A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1929_293T_proteinID_09A_QE3_122212.mgf.gzip/b1929_293T_proteinID_09A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1930_293T_proteinID_10A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1930_293T_proteinID_10A_QE3_122212.mgf.gzip/b1930_293T_proteinID_10A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1931_293T_proteinID_11A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1931_293T_proteinID_11A_QE3_122212.mgf.gzip/b1931_293T_proteinID_11A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1932_293T_proteinID_12A_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1932_293T_proteinID_12A_QE3_122212.mgf.gzip/b1932_293T_proteinID_12A_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1937_293T_proteinID_01B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1937_293T_proteinID_01B_QE3_122212.mgf.gzip/b1937_293T_proteinID_01B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1938_293T_proteinID_02B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1938_293T_proteinID_02B_QE3_122212.mgf.gzip/b1938_293T_proteinID_02B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1939_293T_proteinID_03B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1939_293T_proteinID_03B_QE3_122212.mgf.gzip/b1939_293T_proteinID_03B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1940_293T_proteinID_04B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1940_293T_proteinID_04B_QE3_122212.mgf.gzip/b1940_293T_proteinID_04B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1941_293T_proteinID_05B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1941_293T_proteinID_05B_QE3_122212.mgf.gzip/b1941_293T_proteinID_05B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1942_293T_proteinID_06B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1942_293T_proteinID_06B_QE3_122212.mgf.gzip/b1942_293T_proteinID_06B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1943_293T_proteinID_07B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1943_293T_proteinID_07B_QE3_122212.mgf.gzip/b1943_293T_proteinID_07B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1944_293T_proteinID_08B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1944_293T_proteinID_08B_QE3_122212.mgf.gzip/b1944_293T_proteinID_08B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1945_293T_proteinID_09B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1945_293T_proteinID_09B_QE3_122212.mgf.gzip/b1945_293T_proteinID_09B_QE3_122212.mgf.gzip.ionbot.csv
PXD001468,b1946_293T_proteinID_10B_QE3_122212,yes,HEK293,healthy,kidney,/,/,1,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD001468/IONBOT_v0.7.0/b1946_293T_proteinID_10B_QE3_122212.mgf.gzip/b1946_293T_proteinID_10B_QE3_122212.mgf.gzip.ionbot.csv
