,PXD,RAW,Useable,cell_line,disease,tissue_type,treatment,sub_cell,pool_id,file_path,ionbot_version
0,PXD000533,3B10-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B10-1.mgf.gzip/3B10-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
1,PXD000533,3B10-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B10-2.mgf.gzip/3B10-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
2,PXD000533,3B1-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B1-1.mgf.gzip/3B1-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
3,PXD000533,3B11-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B11-1.mgf.gzip/3B11-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
4,PXD000533,3B11-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B11-2.mgf.gzip/3B11-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
5,PXD000533,3B1-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B1-2.mgf.gzip/3B1-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
6,PXD000533,3B12-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B12-1.mgf.gzip/3B12-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
7,PXD000533,3B12-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B12-2.mgf.gzip/3B12-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
8,PXD000533,3B13-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B13-1.mgf.gzip/3B13-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
9,PXD000533,3B13-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B13-2.mgf.gzip/3B13-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
10,PXD000533,3B14-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B14-1.mgf.gzip/3B14-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
11,PXD000533,3B14-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B14-2.mgf.gzip/3B14-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
12,PXD000533,3B15-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B15-1.mgf.gzip/3B15-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
13,PXD000533,3B15-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B15-2.mgf.gzip/3B15-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
14,PXD000533,3B16-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B16-1.mgf.gzip/3B16-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
15,PXD000533,3B16-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B16-2.mgf.gzip/3B16-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
16,PXD000533,3B17-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B17-1.mgf.gzip/3B17-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
17,PXD000533,3B17-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B17-2.mgf.gzip/3B17-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
18,PXD000533,3B18-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B18-1.mgf.gzip/3B18-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
19,PXD000533,3B18-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B18-2.mgf.gzip/3B18-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
20,PXD000533,3B19-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B19-1.mgf.gzip/3B19-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
21,PXD000533,3B19-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B19-2.mgf.gzip/3B19-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
22,PXD000533,3B20-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B20-1.mgf.gzip/3B20-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
