,PXD,RAW,Useable,cell_line,disease,file_path,pool_id,sub_cell,tissue_type,treatment,parser_fails
0,PXD018450,01_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/01_1.mgf.gzip/01_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
1,PXD018450,01_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/01_2.mgf.gzip/01_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
2,PXD018450,02_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/02_1.mgf.gzip/02_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
3,PXD018450,02_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/02_2.mgf.gzip/02_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
4,PXD018450,03_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/03_1.mgf.gzip/03_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
5,PXD018450,03_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/03_2.mgf.gzip/03_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
6,PXD018450,04_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/04_1.mgf.gzip/04_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
7,PXD018450,04_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/04_2.mgf.gzip/04_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
8,PXD018450,05_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/05_1.mgf.gzip/05_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
9,PXD018450,05_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/05_2.mgf.gzip/05_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
10,PXD018450,06_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/06_1.mgf.gzip/06_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
11,PXD018450,06_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/06_2.mgf.gzip/06_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
12,PXD018450,07_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/07_1.mgf.gzip/07_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
13,PXD018450,07_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/07_2.mgf.gzip/07_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
14,PXD018450,08_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/08_1.mgf.gzip/08_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
15,PXD018450,08_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/08_2.mgf.gzip/08_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
16,PXD018450,09_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/09_1.mgf.gzip/09_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
17,PXD018450,09_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/09_2.mgf.gzip/09_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
18,PXD018450,10_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/10_1.mgf.gzip/10_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
19,PXD018450,10_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/10_2.mgf.gzip/10_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
20,PXD018450,11_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/11_1.mgf.gzip/11_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
21,PXD018450,11_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/11_2.mgf.gzip/11_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
22,PXD018450,12_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/12_1.mgf.gzip/12_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
23,PXD018450,12_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/12_2.mgf.gzip/12_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
24,PXD018450,13_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/13_1.mgf.gzip/13_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
25,PXD018450,13_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/13_2.mgf.gzip/13_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
26,PXD018450,14_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/14_1.mgf.gzip/14_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
27,PXD018450,14_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/14_2.mgf.gzip/14_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
28,PXD018450,15_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/15_1.mgf.gzip/15_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
29,PXD018450,15_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/15_2.mgf.gzip/15_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
30,PXD018450,16_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/16_1.mgf.gzip/16_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
31,PXD018450,16_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/16_2.mgf.gzip/16_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
32,PXD018450,17_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/17_1.mgf.gzip/17_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
33,PXD018450,17_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/17_2.mgf.gzip/17_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
34,PXD018450,18_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/18_1.mgf.gzip/18_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
35,PXD018450,18_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/18_2.mgf.gzip/18_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
