references
[["DOI:10.1128/JVI.00121-15","PMID:25717101"]]

[["DOI:10.1038/nsmb.3333","PMID:27918545"]]
[["PMID:28988947","DOI:10.1016/j.chembiol.2017.08.022"]]
[["PMID:29467285","DOI:10.1073/pnas.1715182115"]]
[["PMID:29774096","DOI:10.18632/oncotarget.24796"]]
[["DOI:10.1021/acs.jproteome.6b00470","PMID:28287265"]]

[["DOI:null","PMID:27761513"]]

[["DOI:10.1038/s41467-018-05646-y","PMID:30143613"]]
[["DOI:10.1177/1469066717719848","PMID:29028392"]]
[["DOI:10.1186/s12964-017-0169-y","PMID:28376875"]]
[["PMID:29808012","DOI:10.1038/s41422-018-0043-5"]]
[["DOI:10.1016/j.jprot.2015.09.004","PMID:26376097"]]
[["DOI:null","PMID:26853623"]]
[["PMID:24802182","DOI:10.1016/j.bbapap.2014.04.023"]]
[["DOI:10.1126/scisignal.2004324","PMID:24023255"]]
[["PMID:29018126","DOI:10.1074/mcp.ra117.000296"]]
[["PMID:28973440","DOI:10.1093/nar/gkx641"]]
[["PMID:29941384","DOI:10.1016/j.ijmm.2018.06.002"]]
[["DOI:10.1038/s12276-018-0120-3","PMID:30076294"]]
[["DOI:10.1021/acs.jproteome.8b00180","PMID:29747501"]]
[["DOI:10.1021/acs.jproteome.8b00386","PMID:30238754"]]
[["DOI:10.1002/pmic.201200289","PMID:23606334"]]
[["PMID:28576849","DOI:10.1074/mcp.M116.066381"]]
[["DOI:10.1038/srep37975","PMID:27897233"]]
[["DOI:10.1021/ac4031175","PMID:24313913"]]
[["DOI:10.1038/srep37975","PMID:27897233"]]
[["PMID:28648085","DOI:10.1021/acs.jproteome.7b00042"]]
[["DOI:10.1074/mcp.M113.034751","PMID:24425749"]]
[["DOI:10.1038/msb.2011.82","PMID:22068332"]]
[["DOI:10.1021/acs.jproteome.6b00470","PMID:28287265"]]

[["DOI:10.1016/j.cellsig.2020.109632","PMID:32289446"]]
[["DOI:10.1038/s41598-017-07049-3","PMID:28761088"]]
[["DOI:10.1074/mcp.M113.035436","PMID:24961811"]]
[["PMID:27114449","DOI:10.1074/mcp.O115.049627"]]
[["DOI:10.1002/pmic.201800102","PMID:29905012"]]
[["DOI:10.1038/s41467-017-02218-4","PMID:29247198"]]
[["DOI:10.1016/j.molcel.2016.09.032","PMID:27871366"]]
[["DOI:10.1021/acs.jproteome.6b00925","PMID:28157316"]]
[["DOI:null","PMID:25167464"]]
[["PMID:27991931","DOI:10.1038/onc.2016.435"]]
[["DOI:10.1021/acs.jproteome.8b00156","PMID:29888605"]]
[["DOI:10.1002/jper.18-0217","PMID:30499115"]]
[["PMID:29751106","DOI:10.1016/j.jprot.2018.05.007"]]
[["DOI:10.1038/ncomms10238","PMID:26728094"]]
[["DOI:null","PMID:25330945"]]
[["PMID:28424693","DOI:10.3389/fimmu.2017.00358"]]
[["PMID:29212935","DOI:10.1128/JVI.01969-17"]]
[["PMID:29298419","DOI:10.1016/j.celrep.2017.12.031"]]
[["DOI:null","PMID:27226594"]]
[["DOI:10.1016/j.neuroscience.2015.02.046","PMID:25743254"]]
[["PMID:29932303","DOI:10.1002/pmic.201700230"]]
[["DOI:10.1002/pmic.201400617","PMID:25944712"]]
[["DOI:10.1038/s41557-018-0039-2","PMID:29760414"]]
[["PMID:25973683","DOI:10.1038/cddis.2015.108"]]
[["DOI:null","PMID:26144840"]]
[["DOI:10.1039/c8mo00115d","PMID:30255909"]]
[["DOI:10.1038/srep23978","PMID:27068479"]]
[["DOI:10.1016/j.dib.2016.04.001","PMID:27141528"]]
[["PMID:25484280","DOI:10.1016/j.bbapap.2014.11.011"]]
[["DOI:10.1002/prca.201500033","PMID:26147903"]]

[["DOI:10.1158/1078-0432.ccr-18-0410","PMID:29739788"]]
[["PMID:28338141","DOI:10.1039/c6dt04613d"]]

[["DOI:10.1038/srep44021","PMID:28290473"]]
[["PMID:23828894","DOI:10.1074/mcp.M113.029918"]]
[["DOI:10.1038/ncomms12125","PMID:27381497"]]
[["DOI:10.1016/j.celrep.2015.05.029","PMID:26074081"]]

[["DOI:10.1016/j.jprot.2015.04.025","PMID:25952688"]]
[["DOI:10.1038/s41598-018-30253-8","PMID:30089874"]]

[["DOI:10.1002/pmic.201400216","PMID:25266554"]]
[["DOI:null","PMID:26621846"]]
[["PMID:29018126","DOI:10.1074/mcp.ra117.000296"]]
[["PMID:29848781","DOI:10.1074/mcp.ra118.000809"]]
[["DOI:10.18632/oncotarget.25346","PMID:29872504"]]
[["DOI:null","PMID:26781476"]]
[["DOI:10.1002/pmic.201800265","PMID:30281201"]]
[["PMID:24313378","DOI:10.1021/pr400878x"]]
[["PMID:26883193","DOI:10.18632/oncotarget.7317"]]
