PXD;RAW;cell_line;valid;treated;comment;disease;tissue_type
;;;;;;;
PXD001592;;;;;;;
;;;;;;;
PXD006421;FASP_HL60_0h1.raw.xz;HL60;yes;ATRA;hour states 'hours after ATRA treatment', 5 technical replicates;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_0h2.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_0h3.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_0h4.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_0h5.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_24h1.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_24h2.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_24h3.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_24h4.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_24h5.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_3h1.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_3h2.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_3h3.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_3h4.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_3h5.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_48h1.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_48h2.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_48h3.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_48h4.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_48h5.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_96h1.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_96h2.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_96h3.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_96h4.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
PXD006421;FASP_HL60_96h5.raw.xz;HL60;yes;ATRA;;Acute myeloid leukemia;blood
;;;;;;;
PXD007906;PSY_Ole_CM2_A.raw;HepG2;no;;secretome profile;;
PXD007906;PSY_NT_CM1_A.raw;HepG2;no;;;;
