PXD;RAW;Useable;cell_line;disease;tissue_type;treatment;sub_cell
PXD001592;/;;HeLa;;;;
;;;;;;;
PXD003409;HUVEC_ne_stim_1a_1.raw.xz;no;HUVEC;;;;
PXD003409;HUVEC_ne_stim_1a_2.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_1a_3.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_1a_4.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_1b_1.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_1b_2.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_1b_3.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_1b_4.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_2a.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_2b.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_3a.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_3b.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_4a.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_4b.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5a_1.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5a_2.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5a_3.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5a_4.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5b_1.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5b_2.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5b_3.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_5b_4.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_6a.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_6b.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_7a.raw.xz;no;;;;;
PXD003409;HUVEC_ne_stim_7b.raw.xz;no;;;;;
;;;;;;;
PXD003411;HUVEC_sn_stim_1a.raw.xz;no;;;;;
PXD003411;HUVEC_sn_stim_1b.raw.xz;no;;;;;
PXD003411;HUVEC_sn_stim_2a.raw.xz;no;;;;;
PXD003411;HUVEC_sn_stim_2b.raw.xz;no;;;;;
PXD003411;HUVEC_sn_stim_3a.raw.xz;no;;;;;
PXD003411;HUVEC_sn_stim_3b.raw.xz;no;;;;;
;;;;;;;
PXD000533;3B10-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B10-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B1-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B11-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B11-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B1-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B12-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B12-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B13-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B13-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B14-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B14-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B15-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B15-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B16-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B16-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B17-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B17-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B18-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B18-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B19-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B19-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B20-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B20-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B2-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B21-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B21-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B2-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B22-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B22-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B23-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B23-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B24-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B24-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B3-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B3-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B4-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B4-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B5-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B5-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B6-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B6-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B7-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B7-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B8-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B8-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B9-1.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;3B9-2.raw;yes;Hep3B;hepatocellular carcinoma;liver;;
PXD000533;H10-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H10-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H1-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H11-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H11-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H1-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H12-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H12-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H13-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H13-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H14-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H14-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H15-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H15-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H16-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H16-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H17-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H17-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H18-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H18-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H19-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H19-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H20-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H20-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H2-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H21-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H21-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H2-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H22-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H22-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H23-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H23-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H24-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H24-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H3-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H3-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H4-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H4-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H5-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H5-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H6-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H6-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H7-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H7-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H8-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H8-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H9-1.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
PXD000533;H9-2.raw;yes;MHCC97;hepatocellular carcinoma;liver;;MHCC97H
;;;;;;;
PXD003410;HUVEC_sn_con_1a.raw;no;;;;;
PXD003410;HUVEC_sn_con_1b.raw;no;;;;;
PXD003410;HUVEC_sn_con_2a.raw;no;;;;;
PXD003410;HUVEC_sn_con_2b.raw;no;;;;;
PXD003410;HUVEC_sn_con_3a.raw;no;;;;;
PXD003410;HUVEC_sn_con_3b.raw;no;;;;;
;;;;;;;
PXD004280;QEXI09098.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09100.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09102.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09104.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09106.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09108.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09110.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09112.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09114.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09116.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09118.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09120.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09122.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09124.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09126.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09128.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09130.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09132.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09134.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09136.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09138.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09140.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09147.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09149.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09151.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09153.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09155.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09157.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09159.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09161.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09163.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09165.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09167.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09169.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09171.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09173.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09175.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09177.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09179.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09181.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09183.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI09185.raw;yes;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12445_MM1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12447_C1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12449_I1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12451_Ac1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12453_C2.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12455_I2.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12457_Ac2.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12459_C3.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12461_I3.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12463_Ac3.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12465_C4.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12467_I4.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12469_Ac4.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12471_C5.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12473_I5.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12475_Ac5.raw;no;Jurkat;T-cell leukemia;blood;;
