assay_id,project_id,filename,cell_id,cell_line,disease,treatment,tissue_type,sub_cell,organ_id,PXD_accession,all_PSM,sign_PSM,peptides,proteins,experiment_type,instrument,pmid,pool_id,ionbot_version
30960,1815,3B10-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11014,10578,9705,2401,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30961,1815,3B10-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11530,11036,10104,2449,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30962,1815,3B1-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11558,10874,9947,2620,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30963,1815,3B11-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11821,11205,9940,2542,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30964,1815,3B11-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11704,11014,9757,2449,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30965,1815,3B1-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10818,10191,9319,2544,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30966,1815,3B12-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11163,10685,9495,2441,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30967,1815,3B12-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11540,11005,9764,2434,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30968,1815,3B13-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12735,12099,11047,2730,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30969,1815,3B13-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13619,12865,11686,2850,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30970,1815,3B14-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13021,12356,11088,2864,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30971,1815,3B14-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13414,12788,11498,2889,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30972,1815,3B15-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12859,12302,11076,2890,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30973,1815,3B15-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13244,12537,11269,2900,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30974,1815,3B16-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13646,13024,11852,2952,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30975,1815,3B16-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13525,12816,11668,2893,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30976,1815,3B17-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13121,12529,11397,2871,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30977,1815,3B17-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13457,12736,11602,2863,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30978,1815,3B18-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13569,12880,11789,2916,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30979,1815,3B18-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13488,12831,11704,2865,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30980,1815,3B19-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13564,12835,11682,2948,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30981,1815,3B19-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13460,12743,11669,2957,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30982,1815,3B20-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13385,12517,11291,2864,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30983,1815,3B20-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13562,12704,11421,2851,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30984,1815,3B2-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12298,11564,10082,2680,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30985,1815,3B21-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11345,10686,9696,2757,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30986,1815,3B21-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10734,10070,9160,2674,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30987,1815,3B2-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12321,11569,10065,2658,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30988,1815,3B22-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9980,9395,8673,2587,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30989,1815,3B22-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9582,9000,8294,2493,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30990,1815,3B23-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9485,8973,8265,2452,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30991,1815,3B23-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9047,8538,7856,2441,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30992,1815,3B24-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,8785,8217,7550,2405,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30993,1815,3B24-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,8779,8282,7602,2444,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30994,1815,3B3-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12585,11955,10515,2653,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30995,1815,3B3-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12592,11914,10437,2627,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30996,1815,3B4-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12214,11526,10367,2713,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30997,1815,3B4-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10934,10294,9226,2474,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
30998,1815,3B5-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12493,11807,10640,2683,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
30999,1815,3B5-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13410,12724,11515,2829,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31000,1815,3B6-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12615,11994,10990,2722,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31001,1815,3B6-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11566,10867,9978,2542,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31002,1815,3B7-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10477,9949,8880,2285,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
