Cell_name;PXD_list;parent
2LMP;False;/cellosaurus/CVCL_0062
B02/GFP.2;False;/cellosaurus/CVCL_5T76
Ecad-231-7;False;/cellosaurus/CVCL_0062
Ecad-231-9;False;/cellosaurus/CVCL_0062
LINTERNA MDA-MB-231;False;/cellosaurus/CVCL_0062
MCF-7;['PXD000275', 'PXD000281', 'PXD000309', 'PXD000442', 'PXD000623', 'PXD000691', 'PXD000815', 'PXD001274', 'PXD001352', 'PXD001812', 'PXD001863', 'PXD002104', 'PXD002192', 'PXD002395', 'PXD002421', 'PXD002998', 'PXD003704', 'PXD004051', 'PXD004085', 'PXD004357', 'PXD004452', 'PXD005032', 'PXD005390', 'PXD005940', 'PXD005942'];False
MDA-BoM-1833;['PXD000397'];/cellosaurus/CVCL_0062
MDA-MB-231;['PXD000239', 'PXD000397', 'PXD000691', 'PXD000914', 'PXD001553', 'PXD002192', 'PXD002649', 'PXD005292', 'PXD005942', 'PXD010634'];False
MDA-MB-231 25PACR;False;/cellosaurus/CVCL_0062
MDA-MB-231 50PACR;False;/cellosaurus/CVCL_0062
MDA-MB-231 CAPN2 KO;False;/cellosaurus/CVCL_0062
MDA-MB-231 CMV;False;/cellosaurus/CVCL_0062
MDA-MB-231 ERalpha;False;/cellosaurus/CVCL_0062
MDA-MB-231 ERalpha203/4/11;False;/cellosaurus/CVCL_0062
MDA-MB-231 ERbeta;False;/cellosaurus/CVCL_0062
MDA-MB-231 ERbetaDBD;False;/cellosaurus/CVCL_0062
MDA-MB-231 met2;False;/cellosaurus/CVCL_0062
MDA-MB-231 NAT1 down;False;/cellosaurus/CVCL_0062
MDA-MB-231 NAT1 scrambled;False;/cellosaurus/CVCL_0062
MDA-MB-231 NAT1 up;False;/cellosaurus/CVCL_0062
MDA-MB-231 NAT1+/- 2-12;False;/cellosaurus/CVCL_A9BA
MDA-MB-231 NAT1-/- 2-19;False;/cellosaurus/CVCL_A9BA
MDA-MB-231 NAT1-/- 5-50;False;/cellosaurus/CVCL_A9BA
MDA-MB-231 NucLight Green;False;/cellosaurus/CVCL_0062
MDA-MB-231 NucLight Red;False;/cellosaurus/CVCL_0062
MDA-MB-231 shPARG;False;/cellosaurus/CVCL_0062
MDA-MB-231 shWDR12-4;False;/cellosaurus/CVCL_0062
MDA-MB-231 SimpleCell O-GalNAc;False;/cellosaurus/CVCL_0062
MDA-MB-231 SimpleCell O-GalNAC/O-Man;False;/cellosaurus/CVCL_S031
MDA-MB-231 Vb100;False;/cellosaurus/CVCL_0062
MDA-MB-231 VIM RFP;False;/cellosaurus/CVCL_0062
MDA-MB-231-5a;False;/cellosaurus/CVCL_0062
MDA-MB-231-5a-D;False;/cellosaurus/CVCL_9U30
MDA-MB-231-5a-D-TbetaFluc/Rluc;False;/cellosaurus/CVCL_9U31
MDA-MB-231-5a-D-TbetaFluc/Rluc-ZsGreen;False;/cellosaurus/CVCL_9U32
MDA-MB-231-BAG;False;/cellosaurus/CVCL_0062
MDA-MB-231-Dox;False;/cellosaurus/CVCL_0062
MDA-MB-231-Luc;False;/cellosaurus/CVCL_0062
MDA-MB-231-luc-D3H1;False;/cellosaurus/CVCL_0062
MDA-MB-231-luc-D3H2LN;False;/cellosaurus/CVCL_1D88
MDA-MB-231-luc2;False;/cellosaurus/CVCL_0062
MDA-MB-231-luc2-GFP;False;/cellosaurus/CVCL_D582
MDA-MB-231-luc2-LN;False;/cellosaurus/CVCL_D582
