,h_uniprot,mouse_uniprot
0,A0A075B6H7,A0A075B5M9
1,A0A075B6H8,A0A0B4J1I1
2,A0A075B6H9,A0A0B4J1K5
3,A0A075B6I1,A0A0B4J1K5
4,A0A087WSY6,A0A075B5M9
5,A0A0A0MS15,A0A075B5R2
6,A0A0B4J1V0,A0A075B5R2
7,A0A0C4DH25,A0A075B5M9
8,A0A0C4DH34,A0A0A6YWL2
9,A0A0U1RQS6,A0A0U1RQ45
10,A0A1B0GUS4,P68037
11,A0AVT1,Q8C7R4
12,A0MZ66,Q8K2Q9
13,A0PJW6,Q9CQE2
14,A1A4S6,Q6Y5D8
15,A1IGU5,E9Q5R6
16,A1L4H1,Q8BV57
17,A1L4K1,Q8BZ52
18,A1X283,A0A5F8MPP7
19,A2A2Y4,Q8BHD4
20,A2RRP1,E9Q411
21,A2RTX5,Q8BLY2
22,A2RU67,Q8BYI8
23,A2RUC4,A2RSX7
24,A3KMH1,Q8CC88
25,A3KN83,B2RRI2
26,A4D126,Q5RJG7
27,A4D1T9,Q9DAA4
28,A5PKW4,Q5DTT2
29,A5PLN9,Q3TIR1
30,A5YKK6,Q6ZQ08
31,A5YM72,E9PX09
32,A6NC98,Q4QRL3
33,A6NCL7,Q3U0L2
34,A6NCS6,Q9CYS6
35,A6ND36,Q5SWY7
36,A6NDA9,Q6PFC5
37,A6NDG6,Q8CHP8
38,A6NEE1,B2RPU2
39,A6NFI3,G3XA34
40,A6NGN9,Q8HW98
41,A6NHL2,Q3UX10
42,A6NHQ2,Q80WS3
43,A6NHR9,Q6P5D8
44,A6NHT5,P42581
45,A6NHX0,Q8CAB8
46,A6NIH7,Q8C4B4
47,A6NKD9,A0A217FL83
48,A6NKN8,Q6W8Q3
49,A6NMZ7,Q8C6K9
50,A6NNL5,Q0VG49
51,A7KAX9,Q811P8
52,A7MBM2,Q8CIP5
53,A8K7I4,Q9D7Z6
54,A8MPS7,Q14BV6
55,A8MVW0,A2A699
56,A8MXV4,P11930
57,B0I1T2,Q5SUA5
58,C9J069,A2AJA9
59,D6RIA3,E0CYV9
60,E7EW31,A0A087WR45
61,E9PAV3,P70670
62,E9PRG8,Q9D937
63,H7BZ55,F6XLV1
64,L0R6Q1,Q9D321
65,O00115,P56542
66,O00139,E0CZ72
67,O00148,Q8VDW0
68,O00151,O70400
69,O00154,E9PYH2
70,O00160,Q8CG29
71,O00170,O08915
72,O00178,O08582
73,O00186,Q60770
74,O00194,Q99P58
75,O00203,Q9Z1T1
76,O00204,A0A1B0GST5
77,O00231,Q8BG32
78,O00232,Q9D8W5
79,O00264,O55022
80,O00267,O55201
81,O00268,E9QAP7
82,O00273,O54786
83,O00287,Q8VCG9
84,O00291,Q8VD75
85,O00299,Q9Z1Q5
86,O00303,Q9DCH4
87,O00322,Q9D132
88,O00330,Q8BKZ9
89,O00339,A0A0A0MQM7
90,O00391,Q8BND5
91,O00399,D3Z4E5
92,O00401,Q91YD9
93,O00425,Q9CPN8
94,O00429,Q8K1M6
95,O00442,Q9D7H3
96,O00443,F8VPL2
97,O00463,P70191
98,O00468,M0QWP1
99,O00483,Q62425
100,O00487,O35593
101,O00499,O08539
102,O00505,O35344
103,O00507,F8VPU6
104,O00512,Q9D219
105,O00519,O08914
106,O00526,Q3SXK0
107,O00534,Q99KC8
108,O00562,O35954
109,O00566,Q810V0
110,O00567,Q9D6Z1
111,O00592,Q9R0M4
112,O00602,O70497
113,O00622,P18406
114,O00625,Q9D711
115,O00629,A0A0B4J1E7
116,O00635,Q5SZ99
117,O00743,Q9CQR6
118,O00748,Q91WG0
119,O00757,P70695
