,SHAP_mean,Abundance_rank,Abundance_mean,Abundance_std,description,SHAP_rank,Group
P62877,1.3786167563694527,1.0,0.19432305596948143,0.15156949288458463,E3 ubiquitin-protein ligase RBX1 ,1.0,CRC
Q9UDT6,0.7463562586114798,15.0,0.7070515471214073,0.18378598753223302,CAP-Gly domain-containing linker protein 2 ,2.0,CRC
Q9BWF3,0.720611733662052,1.0,0.2577727595598565,0.15132617995557096,RNA-binding protein 4 ,3.0,CRC
Q14151,0.6814489609759352,2.0,0.20038885464152772,0.09784759799314094,Scaffold attachment factor B2 ,4.0,CRC
P11388,0.6036511273900167,2.0,0.24040901622365463,0.12515276512259682,DNA topoisomerase 2-alpha ,5.0,CRC
P52594,0.5656526912593622,3.0,0.30219474482322006,0.12921281437636878,Arf-GAP domain and FG repeat-containing protein 1 ,6.0,CRC
Q9BZK3,0.5415271959785334,1.0,0.20363135662261034,0.052704307086089454,Putative nascent polypeptide-associated complex subunit alpha-like protein ,7.0,CRC
P20962,0.5188440946260685,14.0,0.7956266038540818,0.15277962513718896,Parathymosin,8.0,CRC
P16144,0.42307267011928257,14.0,0.6895679803605952,0.2423433049613884,Integrin beta-4 ,9.0,CRC
Q8N392,0.39898823605283534,13.0,0.6968978129154486,0.1929642829950353,Rho GTPase-activating protein 18 ,10.0,CRC
P27105,0.3905634892194347,2.0,0.21358666106166205,0.07941022632689007,Stomatin ,11.0,CRC
Q92922,0.38765829910081423,13.0,0.6355802508409273,0.14792041711376552,SWI/SNF complex subunit SMARCC1 ,12.0,CRC
P80723,0.35022305616005334,2.0,0.3627136823512684,0.08053658841200996,Brain acid soluble protein 1 ,13.0,CRC
P50552,0.34550564957550567,12.0,0.816613566569727,0.1255322949724774,Vasodilator-stimulated phosphoprotein ,14.0,CRC
P08670,0.34080773787272883,3.0,0.3127661059699226,0.04784405503874265,Vimentin,15.0,CRC
P62805,0.33059574813148196,3.0,0.49902072706963685,0.17501859806989548,Histone H4,16.0,CRC
P46013,0.3201197228322818,4.0,0.28084521878673885,0.15040644759039412,Proliferation marker protein Ki-67 ,17.0,CRC
P21266,0.3201128593198859,3.0,0.2133309433215151,0.0753325722449893,Glutathione S-transferase Mu 3 ,18.0,CRC
P16403,0.30689055563619694,1.0,0.27571875165022525,0.1083059284238573,Histone H1.2 ,19.0,CRC
Q9UHR4,0.30175256395789785,15.0,0.7548827653004595,0.20025862082831405,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,20.0,CRC
Q16352,0.2988837438508457,1.0,0.17206560418720251,0.07363082579484678,Alpha-internexin ,21.0,CRC
Q99959,0.2981008303649852,14.0,0.7147338015513386,0.2420183591715781,Plakophilin-2,22.0,CRC
Q7L5N7,0.29667687384192815,13.0,0.5866547821693675,0.20807719528096175,Lysophosphatidylcholine acyltransferase 2 ,23.0,CRC
Q96RS6,0.23411613034137335,3.0,0.38000290821926885,0.1889566382099491,NudC domain-containing protein 1 ,24.0,CRC
Q9UKK3,0.22928388926974302,14.0,0.69712124367588,0.21220712282951462,Protein mono-ADP-ribosyltransferase PARP4 ,25.0,CRC
Q8IYS1,0.22545708534224496,14.0,0.6862177011966988,0.23713271314171072,Peptidase M20 domain-containing protein 2 ,26.0,CRC
Q08380,0.22176013438768877,13.0,0.6765242110965053,0.2657606114929237,Galectin-3-binding protein ,27.0,CRC
P05091,0.21888590874097053,14.0,0.7536389938062045,0.10585589033563328,"Aldehyde dehydrogenase, mitochondrial ",28.0,CRC
Q8IVF2,0.19837468818031154,6.0,0.29050075425840943,0.1724996693721032,Protein AHNAK2,29.0,CRC
P49720,0.18551502848206583,11.0,0.6206045916323298,0.11097457792678603,Proteasome subunit beta type-3 ,30.0,CRC
P11047,0.18536484837127354,3.0,0.3431584158282025,0.16242161146419007,Laminin subunit gamma-1 ,31.0,CRC
Q10589,0.18443486916983012,4.0,0.40059936250060957,0.154420361301101,Bone marrow stromal antigen 2 ,32.0,CRC
P16401,0.1798797680048025,5.0,0.5350126099270279,0.13721979880810198,Histone H1.5 ,33.0,CRC
O95817,0.1670488648775567,7.0,0.482057477419327,0.10725407974110025,BAG family molecular chaperone regulator 3 ,34.0,CRC
Q9Y446,0.16045415844622068,13.0,0.7646462683538409,0.2573865265166424,Plakophilin-3,35.0,CRC
Q14764,0.15892282856987922,10.0,0.7591624733653941,0.19226347581785963,Major vault protein ,36.0,CRC
Q01970,0.15830856783177455,12.0,0.7339650802604617,0.16072537551603802,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",37.0,CRC
P35580,0.14811667662459552,2.0,0.3441121036024329,0.24542912231392486,Myosin-10 ,38.0,CRC
Q16762,0.14109010308362105,14.0,0.7265151847991067,0.1853810479397384,Thiosulfate sulfurtransferase ,39.0,CRC
Q14676,0.14054684955075675,3.0,0.1941126520289457,0.11134722349972681,Mediator of DNA damage checkpoint protein 1 ,40.0,CRC
Q16658,0.1382228215409598,3.0,0.5823955333896417,0.32184857976100917,Fascin ,41.0,CRC
Q8IVT2,0.13505664669016798,12.0,0.5838271030397264,0.24146069250708924,Mitotic interactor and substrate of PLK1 ,42.0,CRC
Q9NR30,0.13373247425341145,4.0,0.5821302558814847,0.1694466180409683,Nucleolar RNA helicase 2 ,43.0,CRC
P31947,0.1287732709043115,13.0,0.731077492338277,0.12607979822679688,14-3-3 protein sigma ,44.0,CRC
O60701,0.12730837161171962,14.0,0.7445935275487185,0.11004717803202381,UDP-glucose 6-dehydrogenase ,45.0,CRC
P08648,0.1260368436372233,8.0,0.38289021929436445,0.2203732388755311,Integrin alpha-5 ,46.0,CRC
P32004,0.12476264423258521,6.0,0.21217779289228808,0.17175696277388808,Neural cell adhesion molecule L1 ,47.0,CRC
P20290,0.12240797082136302,2.0,0.3288195681814523,0.20112629983413777,Transcription factor BTF3 ,48.0,CRC
P35998,0.12017381282242377,6.0,0.49303014470120143,0.1650640966510582,26S proteasome regulatory subunit 7 ,49.0,CRC
P48681,0.11348038042032399,3.0,0.21026910061912063,0.12830298665945739,Nestin,50.0,CRC
P43121,0.10204747189658014,6.0,0.2642268170526714,0.11383892702703347,Cell surface glycoprotein MUC18 ,51.0,CRC
P26006,0.1017601611028255,12.0,0.46072276963487524,0.2371046902972871,Integrin alpha-3 ,52.0,CRC
Q8NBS9,0.09908521479581943,12.0,0.6172128675462549,0.13522133228884126,Thioredoxin domain-containing protein 5 ,53.0,CRC
Q9BZQ8,0.09876012129580038,2.0,0.27192203264811565,0.1151047786997123,Protein Niban 1 ,54.0,CRC
P40121,0.09824712885063759,10.0,0.4679246245185439,0.2429713096009777,Macrophage-capping protein ,55.0,CRC
O43707,0.09239181444165566,4.0,0.4269990711080987,0.19289116815945573,Alpha-actinin-4 ,56.0,CRC
P29373,0.09163784629716397,6.0,0.29526860688318246,0.15771737494623522,Cellular retinoic acid-binding protein 2 ,57.0,CRC
Q14315,0.08481907621910488,4.0,0.3608448886098511,0.10961657439656178,Filamin-C ,58.0,CRC
Q99943,0.08118331393851869,7.0,0.31321531776877276,0.14501260900712937,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha ,59.0,CRC
P30740,0.08011109032303537,13.0,0.7599323507911546,0.1907823847810917,Leukocyte elastase inhibitor ,60.0,CRC
Q9NUQ3,0.07999366403162118,9.0,0.6757563534185541,0.12608472965836637,Gamma-taxilin ,61.0,CRC
Q07065,0.07890015563616576,3.0,0.7608942863596863,0.10314991023546777,Cytoskeleton-associated protein 4 ,62.0,CRC
Q96TA1,0.07807104153796024,12.0,0.7418482979708347,0.16637091785685268,Protein Niban 2 ,63.0,CRC
Q96CX2,0.0748444608739072,5.0,0.24435384116941075,0.19382581777456653,BTB/POZ domain-containing protein KCTD12 ,64.0,CRC
Q9NZN4,0.07342048063761264,6.0,0.33638463626805365,0.24362607422605578,EH domain-containing protein 2 ,65.0,CRC
P29350,0.07191462972158805,12.0,0.5475862950503175,0.11766186171121541,Tyrosine-protein phosphatase non-receptor type 6 ,66.0,CRC
P46821,0.07096712020088002,5.0,0.2868850307454438,0.19902471285625628,Microtubule-associated protein 1B ,67.0,CRC
P11498,0.06763752953603092,8.0,0.4831466733120693,0.17395705935405364,"Pyruvate carboxylase, mitochondrial ",68.0,CRC
Q92616,0.0670505691293892,11.0,0.6929742007198663,0.1063481746483378,eIF-2-alpha kinase activator GCN1 ,69.0,CRC
P26447,0.0662114987694155,9.0,0.4857982135244595,0.2401063493764263,Protein S100-A4 ,70.0,CRC
Q8IWE2,0.06421601370902533,7.0,0.40363615899591365,0.2082446679138173,Protein NOXP20 ,71.0,CRC
O43719,0.06238859004604013,12.0,0.6275720481739431,0.12619594933641948,HIV Tat-specific factor 1 ,72.0,CRC
Q8NI08,0.06102827478324169,6.0,0.2727962367485197,0.11883472605195801,Nuclear receptor coactivator 7 ,73.0,CRC
Q9UGI8,0.06036318063725829,10.0,0.6932713041009095,0.1495758257268678,Testin ,74.0,CRC
O00592,0.05782836625949248,5.0,0.33970002484388107,0.17415165256114878,Podocalyxin ,75.0,CRC
Q15149,0.057358058105964546,6.0,0.38460517352476387,0.21624782801038137,Plectin ,76.0,CRC
A0MZ66,0.05682487982892958,11.0,0.6770460332618917,0.15281423321208568,Shootin-1 ,77.0,CRC
Q9BST9,0.05658152086845836,13.0,0.6111417207939226,0.22393175013717817,Rhotekin,78.0,CRC
O00754,0.055437630422292355,5.0,0.33741455727277175,0.14486209465617733,Lysosomal alpha-mannosidase ,79.0,CRC
