"Mouse orthology confidence [0 low, 1 high]",Mouse protein or transcript stable ID,%id. target Mouse gene identical to query gene,Protein stable ID
0,ENSMUSP00000080991,77.044,ENSP00000354687
1,ENSMUSP00000080992,57.0605,ENSP00000355046
1,ENSMUSP00000080993,90.8382,ENSP00000354499
1,ENSMUSP00000080994,71.3656,ENSP00000354876
0,ENSMUSP00000080995,45.5882,ENSP00000355265
1,ENSMUSP00000080996,75.6637,ENSP00000354632
1,ENSMUSP00000080997,86.9732,ENSP00000354982
1,ENSMUSP00000080998,66.087,ENSP00000355206
1,ENSMUSP00000081021,64.2857,ENSP00000354728
1,ENSMUSP00000081000,66.8845,ENSP00000354961
1,ENSMUSP00000081001,63.8474,ENSP00000354813
1,ENSMUSP00000081002,52.2989,ENSP00000354665
0,ENSMUSP00000081003,77.8947,ENSP00000354554
0,ENSMUSP00000100259,65.812,ENSP00000478289
0,ENSMUSP00000141593,65.812,ENSP00000478289
0,ENSMUSP00000141343,65.812,ENSP00000478289
0,ENSMUSP00000141962,60.6838,ENSP00000478289
0,ENSMUSP00000100266,61.5385,ENSP00000478289
0,ENSMUSP00000100264,64.1026,ENSP00000478289
0,ENSMUSP00000141480,62.3932,ENSP00000478289
0,ENSMUSP00000088727,82.818,ENSP00000498372
0,ENSMUSP00000088727,82.818,ENSP00000342812
0,ENSMUSP00000085549,93.4866,ENSP00000372499
0,ENSMUSP00000085549,93.4866,ENSP00000347289
0,ENSMUSP00000085549,93.4866,ENSP00000328879
0,ENSMUSP00000139659,31.25,ENSP00000372105
0,ENSMUSP00000140704,31.25,ENSP00000372105
0,ENSMUSP00000097930,31.25,ENSP00000372105
0,ENSMUSP00000141183,31.6532,ENSP00000372105
0,ENSMUSP00000140575,31.25,ENSP00000372105
0,ENSMUSP00000139784,31.25,ENSP00000372105
0,ENSMUSP00000139969,16.9355,ENSP00000372105
0,ENSMUSP00000140512,31.0484,ENSP00000372105
0,ENSMUSP00000139527,31.25,ENSP00000372105
0,ENSMUSP00000140936,31.25,ENSP00000372105
0,ENSMUSP00000010736,30.6452,ENSP00000371887
0,ENSMUSP00000010736,30.6452,ENSP00000371870
0,ENSMUSP00000010736,30.6452,ENSP00000371743
0,ENSMUSP00000010736,30.6452,ENSP00000371861
0,ENSMUSP00000139659,31.25,ENSP00000372154
0,ENSMUSP00000140704,31.25,ENSP00000372154
0,ENSMUSP00000097930,31.25,ENSP00000372154
0,ENSMUSP00000141183,31.6532,ENSP00000372154
0,ENSMUSP00000140575,31.25,ENSP00000372154
0,ENSMUSP00000139784,31.25,ENSP00000372154
0,ENSMUSP00000139969,16.9355,ENSP00000372154
0,ENSMUSP00000140512,31.0484,ENSP00000372154
0,ENSMUSP00000139527,31.25,ENSP00000372154
0,ENSMUSP00000140936,31.25,ENSP00000372154
0,ENSMUSP00000139659,31.25,ENSP00000388006
0,ENSMUSP00000140704,31.25,ENSP00000388006
0,ENSMUSP00000097930,31.25,ENSP00000388006
0,ENSMUSP00000141183,31.6532,ENSP00000388006
0,ENSMUSP00000140575,31.25,ENSP00000388006
0,ENSMUSP00000139784,31.25,ENSP00000388006
0,ENSMUSP00000139969,16.9355,ENSP00000388006
0,ENSMUSP00000140512,31.0484,ENSP00000388006
0,ENSMUSP00000139527,31.25,ENSP00000388006
0,ENSMUSP00000140936,31.25,ENSP00000388006
0,ENSMUSP00000139659,31.25,ENSP00000303712
0,ENSMUSP00000140704,31.25,ENSP00000303712
0,ENSMUSP00000097930,31.25,ENSP00000303712
0,ENSMUSP00000141183,31.6532,ENSP00000303712
0,ENSMUSP00000140575,31.25,ENSP00000303712
0,ENSMUSP00000139784,31.25,ENSP00000303712
0,ENSMUSP00000139969,16.9355,ENSP00000303712
0,ENSMUSP00000140512,31.0484,ENSP00000303712
0,ENSMUSP00000139527,31.25,ENSP00000303712
0,ENSMUSP00000140936,31.25,ENSP00000303712
1,ENSMUSP00000141522,81.2915,ENSP00000330552
1,ENSMUSP00000141522,81.2915,ENSP00000482115
1,ENSMUSP00000141522,81.2915,ENSP00000215473
1,ENSMUSP00000141522,81.2915,ENSP00000355419
1,ENSMUSP00000141522,81.2915,ENSP00000383306
0,ENSMUSP00000139659,31.25,ENSP00000250831
0,ENSMUSP00000140704,31.25,ENSP00000250831
0,ENSMUSP00000097930,31.25,ENSP00000250831
0,ENSMUSP00000141183,31.6532,ENSP00000250831
0,ENSMUSP00000140575,31.25,ENSP00000250831
0,ENSMUSP00000139784,31.25,ENSP00000250831
0,ENSMUSP00000139969,16.7339,ENSP00000250831
0,ENSMUSP00000140512,31.0484,ENSP00000250831
0,ENSMUSP00000139527,31.25,ENSP00000250831
0,ENSMUSP00000140936,31.25,ENSP00000250831
0,ENSMUSP00000139659,31.4516,ENSP00000372484
0,ENSMUSP00000140704,31.4516,ENSP00000372484
0,ENSMUSP00000097930,31.4516,ENSP00000372484
0,ENSMUSP00000141183,31.8548,ENSP00000372484
0,ENSMUSP00000140575,31.4516,ENSP00000372484
0,ENSMUSP00000139784,31.4516,ENSP00000372484
0,ENSMUSP00000139969,16.9355,ENSP00000372484
0,ENSMUSP00000140512,31.25,ENSP00000372484
0,ENSMUSP00000139527,31.4516,ENSP00000372484
0,ENSMUSP00000140936,31.4516,ENSP00000372484
0,ENSMUSP00000139659,31.25,ENSP00000372127
0,ENSMUSP00000140704,31.25,ENSP00000372127
0,ENSMUSP00000097930,31.25,ENSP00000372127
