Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AAAS		ENSG00000094914	"Aladin WD repeat nucleoporin"	Q9NRG9	12	53307456-53324864	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA040086	Approved		Approved	"Nuclear membrane,Centrosome,Cytosol"		NA	NA			"Cluster 27: Non-specific - Gene expression"	"Cluster 71: Testis - DNA repair"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 18: Non-specific - Mixed function"	"Nuclear membrane"	"Centrosome, Cytosol"	"HPA040086: AB_10805602"	"unprognostic (1.53e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.83e-1)"	"unprognostic (1.81e-2)"	"unprognostic (1.76e-1)"	"unprognostic (2.64e-1)"	"unprognostic (1.51e-3)"	"unprognostic (1.70e-1)"	"unprognostic (4.34e-1)"	"unprognostic (1.00e-2)"	"unprognostic (1.57e-2)"	"unprognostic (6.64e-2)"	"prognostic unfavorable (2.93e-4)"	"unprognostic (1.95e-1)"	"unprognostic (9.82e-2)"	"unprognostic (2.53e-1)"	"unprognostic (7.44e-2)"
AARS1	"AARS, AlaRS, CMT2N"	ENSG00000090861	"Alanyl-tRNA synthetase 1"	P49588	16	70251983-70289707	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Charcot-Marie-Tooth disease, Disease variant, Epilepsy, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB034261, HPA040870, HPA044223"	Supported		Supported	Cytosol		NA	NA		620000	"Cluster 27: Non-specific - Gene expression"	"Cluster 22: Non-specific - Unknown function"	"Cluster 36: Non-specific - Unknown function"	"Cluster 40: Plasma cells - Humoral immune response"	Cytosol		"CAB034261: AB_1562673, HPA040870: AB_10794995, HPA044223: AB_2678862"	"unprognostic (1.98e-2)"	"unprognostic (6.87e-2)"	"unprognostic (8.02e-2)"	"unprognostic (5.72e-2)"	"unprognostic (3.58e-1)"	"unprognostic (2.50e-2)"	"unprognostic (7.99e-2)"	"unprognostic (2.36e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.76e-1)"	"unprognostic (8.33e-2)"	"unprognostic (2.92e-1)"	"unprognostic (3.42e-2)"	"unprognostic (3.75e-2)"	"unprognostic (2.05e-3)"	"unprognostic (8.22e-2)"	"unprognostic (3.83e-3)"
AARS2	"AARSL, bA444E17.1, KIAA1270"	ENSG00000124608	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	6	44298731-44313347	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Cancer-related genes, Cardiomyopathy, Disease variant, Neurodegeneration, Premature ovarian failure, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035636, HPA061396"	Approved		Enhanced	Mitochondria		NA	NA			"Cluster 44: Non-specific - Transcription"	"Cluster 35: Non-specific - Unknown function"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 64: Non-specific - Transcription"	Mitochondria		"HPA035636: AB_10670837, HPA061396: AB_2684502"	"unprognostic (1.56e-1)"	"unprognostic (3.24e-2)"	"unprognostic (2.58e-2)"	"unprognostic (2.04e-3)"	"unprognostic (2.83e-1)"	"unprognostic (1.69e-1)"	"unprognostic (8.83e-3)"	"unprognostic (5.12e-2)"	"unprognostic (3.64e-2)"	"unprognostic (1.38e-1)"	"unprognostic (2.19e-2)"	"unprognostic (1.37e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.02e-1)"
AASS	"LKRSDH, LORSDH"	ENSG00000008311	"Aminoadipate-semialdehyde synthase"	Q9UDR5	7	122064583-122144308	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Multifunctional enzyme, Oxidoreductase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 44.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 141.4;Hepatocytes: 223.2;Oligodendrocytes: 125.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 37.8"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA020637, HPA020728, HPA020734"	Enhanced		Approved	Nucleoplasm,Vesicles,Mitochondria		Yes	No		19000		"Cluster 15: Liver - Metabolism"	"Cluster 6: BEWO - Unknown function"	"Cluster 29: Hepatocytes - Metabolism"	Mitochondria	"Nucleoplasm, Vesicles"	"HPA020637: AB_1844415, HPA020728: AB_1844416, HPA020734: AB_1844417"	"unprognostic (4.84e-2)"	"unprognostic (2.29e-1)"	"unprognostic (7.91e-4)"	"unprognostic (6.08e-2)"	"unprognostic (1.49e-2)"	"unprognostic (8.00e-2)"	"prognostic favorable (9.81e-4)"	"unprognostic (4.48e-3)"	"unprognostic (2.38e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.98e-1)"	"unprognostic (1.99e-1)"	"unprognostic (7.76e-3)"	"unprognostic (8.56e-3)"	"unprognostic (1.55e-1)"	"unprognostic (6.50e-2)"	"unprognostic (2.67e-1)"
ABCA12	"DKFZP434G232, ICR2B, LI2"	ENSG00000144452	"ATP binding cassette subfamily A member 12"	Q86UK0	2	214931542-215138626	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 5.7;skin 1: 20.7"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 12.3;Basal respiratory cells: 7.1;Ionocytes: 6.4;Suprabasal keratinocytes: 33.0"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 5.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Skin - Keratinocyte (granular)"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"cerebral cortex: 1.0;hippocampal formation: 1.1"	HPA078239			Approved	"Nucleoli,Vesicles,Plasma membrane,Cytosol"		NA	NA				"Cluster 61: Skin - Cornification"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Vesicles, Plasma membrane"	"Nucleoli, Cytosol"	"HPA078239: AB_2732373"	"unprognostic (6.12e-2)"	"unprognostic (4.33e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.03e-1)"	"unprognostic (2.49e-1)"	"unprognostic (2.13e-1)"	"unprognostic (2.09e-4)"	"unprognostic (6.52e-3)"	"unprognostic (3.75e-2)"	"unprognostic (1.11e-1)"	"unprognostic (6.35e-4)"	"unprognostic (2.50e-2)"	"unprognostic (7.69e-2)"	"unprognostic (5.92e-2)"	"unprognostic (2.64e-2)"	"unprognostic (2.36e-1)"	"unprognostic (5.08e-2)"
ABCA2	ABC2	ENSG00000107331	"ATP binding cassette subfamily A member 2"	Q9BZC7	9	137007234-137028922	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	23	"brain: 543.0"	"Cell type enriched"	"Detected in many"	7	"Oligodendrocytes: 367.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"							HPA042886	Approved		Supported	Vesicles		NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	Vesicles		"HPA042886: AB_2678213"	"unprognostic (1.01e-2)"	"unprognostic (9.21e-3)"	"unprognostic (9.59e-2)"	"unprognostic (6.15e-2)"	"unprognostic (1.02e-1)"	"unprognostic (8.08e-2)"	"unprognostic (2.20e-2)"	"unprognostic (1.13e-2)"	"unprognostic (5.61e-3)"	"unprognostic (1.76e-1)"	"unprognostic (2.93e-2)"	"unprognostic (2.74e-2)"	"unprognostic (6.78e-3)"	"unprognostic (3.14e-3)"	"unprognostic (1.37e-1)"	"unprognostic (2.80e-1)"	"unprognostic (1.36e-1)"
ABCA3	"ABC-C, ABC3, EST111653, LBM180"	ENSG00000167972	"ATP binding cassette subfamily A member 3"	Q99758	16	2275881-2340746	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lung: 91.2"	"Group enriched"	"Detected in many"	6	"Alveolar cells type 1: 223.1;Alveolar cells type 2: 528.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 2, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007884	Enhanced		Approved	Nucleoplasm,Cytosol		NA	NA			"Cluster 22: NK-cells - Unknown function"	"Cluster 57: Non-specific - Angiogenesis"	"Cluster 34: Rabdoid cancer - Embryonic development"	"Cluster 41: Alveolar cells - Lung function"	"Nucleoplasm, Cytosol"		"HPA007884: AB_1078077"	"unprognostic (2.64e-1)"	"unprognostic (2.19e-2)"	"unprognostic (6.09e-3)"	"unprognostic (2.61e-3)"	"unprognostic (2.20e-1)"	"unprognostic (1.35e-1)"	"unprognostic (2.90e-2)"	"unprognostic (1.86e-1)"	"unprognostic (6.58e-3)"	"unprognostic (3.67e-2)"	"unprognostic (1.71e-3)"	"unprognostic (2.22e-2)"	"unprognostic (5.33e-2)"	"unprognostic (3.32e-2)"	"unprognostic (7.85e-2)"	"unprognostic (2.91e-1)"	"unprognostic (1.30e-1)"
ABCA4	"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1"	ENSG00000198691	"ATP binding cassette subfamily A member 4"	P78363	1	93992834-94121148	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Sensory transduction, Transport, Vision"	Translocase	"Age-related macular degeneration, Cone-rod dystrophy, Disease variant, Retinitis pigmentosa, Stargardt disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	32	"choroid plexus: 144.6;retina: 461.0"	"Group enriched"	"Detected in some"	5	"Cone photoreceptor cells: 265.4;Rod photoreceptor cells: 526.9"	"Cancer enhanced"	"Detected in many"		"lung cancer: 3.1"	"Region enriched"	"Detected in some"	6	"hippocampal formation: 9.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"liver cancer: 12.1"	"Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"HPA064420, HPA078826"	Enhanced		Supported	"Endoplasmic reticulum"		NA	NA				"Cluster 79: Retina - Phototransduction"	"Cluster 61: Liver - Metabolism"	"Cluster 44: Photoreceptor cells - Visual perception"	"Endoplasmic reticulum"		"HPA064420: , HPA078826: "	"unprognostic (1.25e-1)"	"unprognostic (3.93e-1)"	"unprognostic (3.29e-2)"	"unprognostic (7.17e-4)"	"unprognostic (1.28e-1)"	"unprognostic (3.00e-1)"	"unprognostic (1.38e-2)"	"prognostic favorable (2.45e-4)"	"unprognostic (3.77e-2)"	"unprognostic (5.25e-1)"	"unprognostic (3.70e-1)"	"unprognostic (5.18e-2)"	"unprognostic (1.17e-9)"	"unprognostic (1.61e-2)"	"unprognostic (1.55e-1)"	"unprognostic (2.47e-1)"	"prognostic unfavorable (2.72e-4)"
ABCA7	ABCX	ENSG00000064687	"ATP binding cassette subfamily A member 7"	Q8IZY2	19	1039997-1065572	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Phagocytosis, Transport"	Translocase	"Alzheimer disease, Amyloidosis, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 27.4;pituitary gland: 28.7"	"Group enriched"	"Detected in many"	4	"Alveolar cells type 1: 129.8;Bipolar cells: 114.1;Cone photoreceptor cells: 117.2;Extravillous trophoblasts: 369.2;Rod photoreceptor cells: 243.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in some"			HPA041564	Enhanced		Supported	"Golgi apparatus,Plasma membrane,Cell Junctions"		NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 20: Retina & Lymphoid tissues - Unknown function"	"Cluster 4: Non-specific - Transcription"	"Cluster 54: Extravillous trophoblasts - Unknown function"	"Golgi apparatus, Plasma membrane"	"Cell Junctions"	"HPA041564: AB_2677550"	"unprognostic (1.52e-1)"	"unprognostic (1.12e-1)"	"prognostic unfavorable (7.26e-4)"	"prognostic favorable (1.12e-4)"	"unprognostic (8.88e-2)"	"unprognostic (1.13e-2)"	"unprognostic (2.25e-1)"	"unprognostic (4.00e-2)"	"unprognostic (1.04e-1)"	"unprognostic (2.24e-2)"	"unprognostic (1.51e-3)"	"unprognostic (3.68e-2)"	"unprognostic (8.99e-3)"	"unprognostic (2.08e-2)"	"unprognostic (3.66e-1)"	"unprognostic (7.88e-2)"	"unprognostic (7.85e-2)"
ABCB11	"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP"	ENSG00000073734	"ATP binding cassette subfamily B member 11"	O95342	2	168915498-169031324	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Intrahepatic cholestasis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"liver: 80.8"	"Group enriched"	"Detected in some"	5	"Early spermatids: 42.3;Hepatocytes: 124.5"	"Cancer enriched"	"Detected in single"	87	"liver cancer: 6.7"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.8"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA019035	Enhanced		Uncertain	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA				"Cluster 62: Liver - Hemostasis"	"Cluster 61: Liver - Metabolism"	"Cluster 13: Hepatocytes - Oxidoreductase activity"	"Nucleoplasm, Plasma membrane, Cytosol"		"HPA019035: AB_1844429"	"unprognostic (7.78e-2)"	"unprognostic (3.92e-1)"	"unprognostic (8.31e-2)"	"unprognostic (2.56e-1)"	"unprognostic (1.13e-1)"	"unprognostic (5.10e-2)"	"unprognostic (1.00e-2)"	"unprognostic (9.71e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.72e-2)"	"unprognostic (5.64e-3)"	"unprognostic (3.71e-1)"	"unprognostic (5.26e-6)"	"unprognostic (7.12e-2)"	"unprognostic (1.82e-1)"		"unprognostic (1.94e-1)"
