Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
A2M	"CPAMD5, FWP007, S863-7"	ENSG00000175899	Alpha-2-macroglobulin	P01023	12	9067664-9116229	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lung: 1678.3"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 1264.3;Cardiomyocytes: 398.0;Endothelial cells: 864.5;Hepatocytes: 661.1;Kupffer cells: 338.8;Microglial cells: 345.7;Smooth muscle cells: 470.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"gdT-cell: 1.5"	"Lineage enhanced"	"Detected in single"		"T-cells: 1.5"	"Cancer enhanced"	"Detected in many"		"Brain cancer: 55.3;liver cancer: 139.1;skin cancer: 83.2"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Macrophages, Kidney - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_1, Prostate - Fibroblasts, Skeletal muscle - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002265, CAB017621"	Supported				"Secreted to blood"	NA	NA	1630000000000	170000000000	"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 86: Liver & Placenta - Transport via ER"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 66: Endothelial cells - Angiogenesis"			"CAB017621: AB_1118894, HPA002265: AB_1078142"	"unprognostic (1.73e-2)"	"unprognostic (1.05e-3)"	"unprognostic (1.72e-1)"	"unprognostic (2.29e-2)"	"unprognostic (7.36e-2)"	"unprognostic (3.91e-2)"	"unprognostic (7.95e-2)"	"unprognostic (3.65e-2)"	"unprognostic (2.38e-1)"	"unprognostic (7.19e-2)"	"unprognostic (4.71e-2)"	"unprognostic (2.06e-2)"	"unprognostic (1.28e-2)"	"unprognostic (8.04e-3)"	"unprognostic (2.32e-2)"	"unprognostic (8.58e-2)"	"unprognostic (9.03e-3)"
AARS2	"AARSL, bA444E17.1, KIAA1270"	ENSG00000124608	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	6	44298731-44313347	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Cancer-related genes, Cardiomyopathy, Disease variant, Neurodegeneration, Premature ovarian failure, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035636, HPA061396"	Approved		Enhanced	Mitochondria		NA	NA			"Cluster 44: Non-specific - Transcription"	"Cluster 35: Non-specific - Unknown function"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 64: Non-specific - Transcription"	Mitochondria		"HPA035636: AB_10670837, HPA061396: AB_2684502"	"unprognostic (1.56e-1)"	"unprognostic (3.24e-2)"	"unprognostic (2.58e-2)"	"unprognostic (2.04e-3)"	"unprognostic (2.83e-1)"	"unprognostic (1.69e-1)"	"unprognostic (8.83e-3)"	"unprognostic (5.12e-2)"	"unprognostic (3.64e-2)"	"unprognostic (1.38e-1)"	"unprognostic (2.19e-2)"	"unprognostic (1.37e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.02e-1)"
ABCB1	"ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1"	ENSG00000085563	"ATP binding cassette subfamily B member 1"	P08183	7	87503017-87713323	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 101.7;intestine: 70.7"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 102.0;Microglial cells: 555.5;Proximal enterocytes: 250.9"	"Cancer enhanced"	"Detected in many"		"renal cancer: 14.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"MAIT T-cell: 27.2;NK-cell: 17.9"	"Group enriched"	"Detected in many"	9	"NK-cells: 17.9;T-cells: 27.2"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 24.8;liver cancer: 18.1"	"Prostate - Endothelial cells"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"cerebellum: 12.2"	"CAB001716, HPA002199, HPA074614"	Enhanced		Supported	"Plasma membrane"		NA	NA			"Cluster 16: MAIT-cells - Unknown function"	"Cluster 45: Intestine - Brush border"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	"Plasma membrane"		"CAB001716: , HPA002199: AB_1844428, HPA074614: "	"unprognostic (5.38e-3)"	"unprognostic (2.45e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.06e-1)"	"unprognostic (2.25e-2)"	"unprognostic (9.99e-5)"	"unprognostic (2.23e-3)"	"unprognostic (5.65e-3)"	"unprognostic (1.14e-1)"	"unprognostic (5.17e-2)"	"prognostic favorable (3.33e-4)"	"unprognostic (5.19e-1)"	"prognostic favorable (2.95e-4)"	"unprognostic (2.06e-1)"	"unprognostic (1.50e-1)"	"unprognostic (3.83e-1)"	"unprognostic (6.12e-2)"
ABCC1	"GS-X, MRP, MRP1"	ENSG00000103222	"ATP binding cassette subfamily C member 1"	P33527	16	15949138-16143257	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	"Hydrolase, Translocase"	"Cancer-related genes, Deafness, FDA approved drug targets, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Breast - Fibroblasts, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002380, HPA076011"	Uncertain		Supported	"Plasma membrane,Cell Junctions"		NA	NA				"Cluster 72: Non-specific - Transcription"	"Cluster 61: Liver - Metabolism"	"Cluster 1: T-cells - Immune response"	"Plasma membrane"	"Cell Junctions"	"HPA002380: AB_1844432, HPA076011: "	"unprognostic (9.97e-2)"	"unprognostic (2.06e-1)"	"unprognostic (2.05e-2)"	"unprognostic (2.94e-1)"	"unprognostic (4.89e-2)"	"unprognostic (1.15e-1)"	"prognostic unfavorable (5.42e-5)"	"unprognostic (3.42e-1)"	"unprognostic (3.31e-1)"	"unprognostic (4.07e-2)"	"unprognostic (9.78e-3)"	"unprognostic (7.19e-2)"	"prognostic unfavorable (1.55e-6)"	"unprognostic (1.84e-1)"	"unprognostic (1.15e-1)"	"unprognostic (1.43e-2)"	"unprognostic (1.80e-2)"
ABCC2	"CMOAT, cMRP, DJS, MRP2"	ENSG00000023839	"ATP binding cassette subfamily C member 2"	Q92887	10	99782640-99852594	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 40.2;liver: 121.7"	"Cell type enriched"	"Detected in many"	6	"Hepatocytes: 215.9"	"Cancer enriched"	"Detected in many"	5	"liver cancer: 24.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"liver cancer: 68.9;Rhabdoid: 77.1"	"Kidney - Proximal tubular cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA071145	Enhanced					NA	NA				"Cluster 41: Intestine & Liver - Lipid metabolism"	"Cluster 61: Liver - Metabolism"	"Cluster 13: Hepatocytes - Oxidoreductase activity"			"HPA071145: "	"unprognostic (1.49e-3)"	"unprognostic (5.92e-2)"	"unprognostic (1.59e-1)"	"unprognostic (3.67e-1)"	"unprognostic (1.93e-2)"	"unprognostic (2.33e-1)"	"unprognostic (2.51e-1)"	"unprognostic (7.15e-3)"	"unprognostic (5.68e-2)"	"unprognostic (2.01e-1)"	"unprognostic (4.30e-1)"	"unprognostic (1.40e-3)"	"prognostic unfavorable (1.93e-5)"	"unprognostic (1.31e-1)"	"unprognostic (3.22e-2)"	"unprognostic (2.95e-1)"	"unprognostic (1.26e-2)"
ABCC3	"cMOAT2, EST90757, MLP2, MOAT-D, MRP3"	ENSG00000108846	"ATP binding cassette subfamily C member 3"	O15438	17	50634777-50692253	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 59.1;liver: 50.4"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 223.3;Distal enterocytes: 196.7;Gastric mucus-secreting cells: 231.9;Hepatocytes: 152.3;Late spermatids: 130.5;Paneth cells: 185.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in some"		"intermediate monocyte: 5.1;non-classical monocyte: 6.4"	"Lineage enriched"	"Detected in many"	5	"monocytes: 6.4"	"Low cancer specificity"	"Detected in many"			"Prostate - Prostate basal glandular cells, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"CAB037136, HPA048483"	Enhanced		Supported	"Plasma membrane"		NA	NA			"Cluster 7: Monocytes - Unknown function"	"Cluster 29: Non-specific - Vesicular transport"	"Cluster 61: Liver - Metabolism"	"Cluster 50: Enterocytes - Absorption"	"Plasma membrane"		"CAB037136: AB_477165, HPA048483: AB_2680414"	"unprognostic (1.57e-2)"	"unprognostic (1.60e-1)"	"unprognostic (1.53e-1)"	"unprognostic (1.65e-2)"	"unprognostic (9.67e-3)"	"unprognostic (6.19e-3)"	"unprognostic (7.44e-3)"	"unprognostic (8.20e-2)"	"unprognostic (3.18e-1)"	"unprognostic (5.13e-2)"	"prognostic unfavorable (9.57e-4)"	"unprognostic (1.60e-3)"	"prognostic unfavorable (4.68e-6)"	"unprognostic (3.42e-1)"	"unprognostic (4.77e-2)"	"unprognostic (4.44e-2)"	"unprognostic (1.57e-3)"
ABCC5	"EST277145, MOAT-C, MRP5, SMRP"	ENSG00000114770	"ATP binding cassette subfamily C member 5"	O15440	3	183919934-184017939	"Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"choroid plexus: 167.1"	"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 127.5;Excitatory neurons: 99.9;Inhibitory neurons: 120.2;Rod photoreceptor cells: 124.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044067, HPA052295"	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Cell Junctions"		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 54: Non-specific - Microtubule organization"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane, Cell Junctions"	Nucleoplasm	"HPA044067: AB_2678797, HPA052295: AB_2681789"	"unprognostic (9.39e-2)"	"unprognostic (6.23e-3)"	"unprognostic (3.83e-2)"	"unprognostic (1.10e-3)"	"unprognostic (2.28e-2)"	"unprognostic (2.07e-1)"	"prognostic unfavorable (6.78e-8)"	"unprognostic (4.46e-2)"	"unprognostic (6.07e-3)"	"unprognostic (1.02e-1)"	"unprognostic (5.91e-3)"	"prognostic unfavorable (3.40e-4)"	"unprognostic (1.10e-1)"	"unprognostic (9.05e-3)"	"unprognostic (1.64e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.24e-2)"
ABCC6	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	ENSG00000091262	"ATP binding cassette subfamily C member 6"	O95255	16	16149565-16223522	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Sensory transduction, Transport, Vision"	Translocase	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"liver: 134.2"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 19.2;Hepatocytes: 47.3;Proximal enterocytes: 23.7;Proximal tubular cells: 45.8;Respiratory ciliated cells: 17.1"	"Group enriched"	"Detected in many"	5	"liver cancer: 16.7;renal cancer: 5.0"	"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in single"	6	"classical monocyte: 3.4"	"Lineage enriched"	"Detected in single"	7	"monocytes: 3.4"	"Cancer enhanced"	"Detected in many"		"liver cancer: 7.1"	"Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"							HPA038105			Supported	"Nucleoplasm,Plasma membrane"		NA	NA			"Cluster 25: Monocytes - Inflammatory response"	"Cluster 85: Liver - Metabolism"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 60: Proximal tubular cells - Absorption"	"Plasma membrane"	Nucleoplasm	"HPA038105: AB_2675835"	"unprognostic (1.32e-1)"	"unprognostic (1.11e-1)"	"unprognostic (5.98e-2)"	"unprognostic (3.15e-2)"	"unprognostic (1.59e-1)"	"unprognostic (3.09e-1)"	"prognostic favorable (3.82e-4)"	"unprognostic (6.54e-3)"	"unprognostic (3.64e-1)"	"unprognostic (9.10e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.65e-1)"	"unprognostic (1.12e-3)"	"unprognostic (3.42e-1)"	"unprognostic (2.00e-1)"	"unprognostic (4.91e-2)"	"unprognostic (1.41e-1)"
ABCG2	"ABCP, BCRP, CD338, EST157481, MXR"	ENSG00000118777	"ATP binding cassette subfamily G member 2 (Junior blood group)"	Q9UNQ0	4	88090150-88231628	"Cancer-related genes, CD markers, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 88.3"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 200.4;Distal enterocytes: 74.3;Extravillous trophoblasts: 90.4;Hofbauer cells: 126.3;Microglial cells: 180.6;Proximal enterocytes: 215.7"	"Cancer enhanced"	"Detected in many"		"glioma: 9.3"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"MAIT T-cell: 2.2"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"testis cancer: 26.1"	"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB037299, HPA054719"	Enhanced		Supported	"Nucleoplasm,Plasma membrane"		NA	NA			"Cluster 16: MAIT-cells - Unknown function"	"Cluster 45: Intestine - Brush border"	"Cluster 6: BEWO - Unknown function"	"Cluster 70: Basal prostatic cells - Lipid metabolism"	"Plasma membrane"	Nucleoplasm	"CAB037299: AB_476804, HPA054719: "	"unprognostic (5.04e-1)"	"unprognostic (3.05e-2)"	"unprognostic (2.01e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.01e-3)"	"unprognostic (9.19e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.30e-1)"	"unprognostic (9.14e-2)"	"unprognostic (1.37e-1)"	"unprognostic (3.01e-3)"	"unprognostic (4.52e-2)"	"unprognostic (1.67e-3)"	"unprognostic (8.82e-3)"	"unprognostic (7.04e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.92e-1)"
ABI1	"ABI-1, E3B1, SSH3BP1"	ENSG00000136754	"Abl interactor 1"	Q8IZP0	10	26746593-26861087	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 269.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB008375, HPA068407"	Approved		Approved	"Plasma membrane,Cell Junctions"		NA	NA		440000	"Cluster 5: Granulocytes - Unknown function"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 67: Non-specific - Mitochondria & RNA binding"	"Cluster 32: Neurons - Synaptic function"	"Plasma membrane, Cell Junctions"		"CAB008375: AB_592744, HPA068407: AB_2685983"	"unprognostic (2.83e-3)"	"unprognostic (8.69e-2)"	"unprognostic (1.12e-1)"	"unprognostic (3.96e-1)"	"unprognostic (2.51e-2)"	"unprognostic (9.24e-3)"	"unprognostic (1.88e-3)"	"unprognostic (2.03e-1)"	"unprognostic (6.04e-2)"	"unprognostic (4.38e-1)"	"unprognostic (2.40e-2)"	"unprognostic (5.48e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.18e-1)"
